precision,n,n_parallel,frac_parallel,n_antiparallel,frac_antiparallel,n_hybrid,frac_hybrid,n_mixed,frac_mixed
default,130863,115262,0.880783720379328,4539,0.03468512872240435,11062,0.08453115089826765,0,0.0
0.70,130863,115262,0.880783720379328,4539,0.03468512872240435,11003,0.08408029771593192,59,0.00045085318233572516
0.75,130863,112448,0.8592803160557224,4413,0.033722289722839915,7912,0.06046017590915691,6090,0.04653721831228078
0.80,130863,95660,0.7309934817328045,4099,0.03132283380329046,1879,0.014358527620488603,29225,0.2233251568434164
0.85,130863,63727,0.48697492797811454,2139,0.01634533825451044,37,0.000282738436380031,64960,0.496396995330995
0.90,130863,34784,0.26580469651467564,31,0.00023688896021029627,1,7.64157936162246e-06,96047,0.7339507729457524
0.95,130863,2813,0.02149576274424398,18,0.00013754842850920428,5,3.82078968081123e-05,128027,0.9783284809304387
