genotype,stratify_by,signal,quartile,position,mean,sem,n
WT,G4_quartile,S9.6 (R-loop),Q1,303.030303030303,0.5680765183702768,0.02406207834299404,6117
WT,G4_quartile,S9.6 (R-loop),Q1,343.4343434343432,0.5836171356652083,0.024091026464309627,6117
WT,G4_quartile,S9.6 (R-loop),Q1,383.83838383838383,0.5587521358703416,0.023877965907598508,6117
WT,G4_quartile,S9.6 (R-loop),Q1,424.242424242424,0.5264718700836282,0.0229055538993906,6117
WT,G4_quartile,S9.6 (R-loop),Q1,464.64646464646466,0.5255713178797384,0.02288283799729205,6117
WT,G4_quartile,S9.6 (R-loop),Q1,505.05050505050485,0.5257931808619013,0.02275511582270584,6117
WT,G4_quartile,S9.6 (R-loop),Q1,545.4545454545455,0.5195755741333842,0.02273492198039095,6117
WT,G4_quartile,S9.6 (R-loop),Q1,585.8585858585857,0.530396492163018,0.02299505652688854,6117
WT,G4_quartile,S9.6 (R-loop),Q1,626.2626262626259,0.5331697132397905,0.022866816486992406,6117
WT,G4_quartile,S9.6 (R-loop),Q1,666.6666666666665,0.5356223330421238,0.022902194707134883,6117
WT,G4_quartile,S9.6 (R-loop),Q1,707.0707070707067,0.5407905265201038,0.02337473924240112,6117
WT,G4_quartile,S9.6 (R-loop),Q1,747.4747474747473,0.5546175108333177,0.02414578319788391,6117
WT,G4_quartile,S9.6 (R-loop),Q1,787.8787878787875,0.5625856478840752,0.024324391125473254,6117
WT,G4_quartile,S9.6 (R-loop),Q1,828.2828282828282,0.5693434010202026,0.02474234039670756,6117
WT,G4_quartile,S9.6 (R-loop),Q1,868.6868686868684,0.5533424536956929,0.02383272298888758,6117
WT,G4_quartile,S9.6 (R-loop),Q1,909.090909090909,0.5418078091863485,0.023177590740041318,6117
WT,G4_quartile,S9.6 (R-loop),Q1,949.4949494949492,0.5263553379912401,0.022976975787835138,6117
WT,G4_quartile,S9.6 (R-loop),Q1,989.8989898989898,0.5239573137107206,0.022730685640729578,6117
WT,G4_quartile,S9.6 (R-loop),Q1,1030.30303030303,0.539962771484502,0.023156165802265444,6117
WT,G4_quartile,S9.6 (R-loop),Q1,1070.7070707070707,0.5539695325250045,0.026311114542944665,6117
WT,G4_quartile,S9.6 (R-loop),Q1,1111.1111111111109,0.5408235462573558,0.02680443132378686,6117
WT,G4_quartile,S9.6 (R-loop),Q1,1151.5151515151515,0.5243709420777929,0.02283935428887554,6117
WT,G4_quartile,S9.6 (R-loop),Q1,1191.9191919191917,0.5352170220894811,0.022850895252622298,6117
