topology,median,mean,n
parallel,2.0801405224800114,3.9479887042407227,104336
antiparallel,2.032315940856934,3.9247615064032253,12098
hybrid,2.110022138595581,4.063249325811229,14429
no_canonical_PQS,2.403041669368744,4.483519993222632,16980
