ko,column,direction,bin,position,mean,sem,n
DHX36KO,WT (DHX36KO DEGs),up,1,-2000,1.102013330401444,0.17928072330917444,41
DHX36KO,WT (DHX36KO DEGs),up,2,-1949.367088607595,1.115571970590731,0.17062479877284534,41
DHX36KO,WT (DHX36KO DEGs),up,3,-1898.73417721519,1.1404625683877525,0.17412898699937465,41
DHX36KO,WT (DHX36KO DEGs),up,4,-1848.1012658227849,1.234933254699397,0.18547128023031562,41
DHX36KO,WT (DHX36KO DEGs),up,5,-1797.4683544303798,1.289499662116291,0.19559548718644584,41
DHX36KO,WT (DHX36KO DEGs),up,6,-1746.8354430379748,1.3842240471956206,0.206697883759255,41
DHX36KO,WT (DHX36KO DEGs),up,7,-1696.2025316455697,1.403553376915009,0.21959100926945513,41
DHX36KO,WT (DHX36KO DEGs),up,8,-1645.5696202531644,1.3180475503448548,0.20840327089154673,41
DHX36KO,WT (DHX36KO DEGs),up,9,-1594.9367088607596,1.2799169011038494,0.17627760720444005,41
DHX36KO,WT (DHX36KO DEGs),up,10,-1544.3037974683543,1.2288496367136637,0.17657643667913786,41
DHX36KO,WT (DHX36KO DEGs),up,11,-1493.6708860759495,1.2588425020086087,0.212501502289807,41
DHX36KO,WT (DHX36KO DEGs),up,12,-1443.0379746835442,1.3256265633086848,0.22805109396447817,41
DHX36KO,WT (DHX36KO DEGs),up,13,-1392.4050632911392,1.3346093285568361,0.23516180979019152,41
DHX36KO,WT (DHX36KO DEGs),up,14,-1341.7721518987341,1.4081443120987434,0.246762466441245,41
DHX36KO,WT (DHX36KO DEGs),up,15,-1291.139240506329,1.542989483538682,0.25550840976783046,41
DHX36KO,WT (DHX36KO DEGs),up,16,-1240.506329113924,1.6198205892632647,0.2925092908528343,41
DHX36KO,WT (DHX36KO DEGs),up,17,-1189.873417721519,1.6410425745180952,0.3438539055545005,41
DHX36KO,WT (DHX36KO DEGs),up,18,-1139.240506329114,1.5858552947470812,0.3820406918745195,41
DHX36KO,WT (DHX36KO DEGs),up,19,-1088.607594936709,1.4691699617277316,0.43279704018264353,41
DHX36KO,WT (DHX36KO DEGs),up,20,-1037.9746835443038,1.4938736815181206,0.4578461348336253,41
DHX36KO,WT (DHX36KO DEGs),up,21,-987.3417721518988,1.7867761452023576,0.6112142813608292,41
DHX36KO,WT (DHX36KO DEGs),up,22,-936.7088607594937,2.003826660877321,0.7259905260418107,41
DHX36KO,WT (DHX36KO DEGs),up,23,-886.0759493670887,2.380212679936634,0.7960650484978913,41
DHX36KO,WT (DHX36KO DEGs),up,24,-835.4430379746836,2.6680546116247412,0.8988507584532385,41
DHX36KO,WT (DHX36KO DEGs),up,25,-784.8101265822784,2.686248791004584,0.8963817796526666,41
DHX36KO,WT (DHX36KO DEGs),up,26,-734.1772151898733,2.848310508534191,0.9224091231895026,41
DHX36KO,WT (DHX36KO DEGs),up,27,-683.5443037974683,3.165110471403696,1.0567036978154167,41
DHX36KO,WT (DHX36KO DEGs),up,28,-632.9113924050632,3.5239240768285303,1.0779125218435417,41
DHX36KO,WT (DHX36KO DEGs),up,29,-582.2784810126582,3.954448552945765,1.1892904844857137,41
DHX36KO,WT (DHX36KO DEGs),up,30,-531.6455696202531,4.357589118713286,1.303401635667061,41
DHX36KO,WT (DHX36KO DEGs),up,31,-481.0126582278481,4.52169239726493,1.36957364885105,41
DHX36KO,WT (DHX36KO DEGs),up,32,-430.37974683544303,4.433779269233952,1.3665065362742383,41
DHX36KO,WT (DHX36KO DEGs),up,33,-379.746835443038,4.278824505146926,1.2855105399116862,41
DHX36KO,WT (DHX36KO DEGs),up,34,-329.11392405063293,3.7315411635530675,1.0987012790606878,41
DHX36KO,WT (DHX36KO DEGs),up,35,-278.4810126582279,3.47253947062221,0.9936657538960836,41
DHX36KO,WT (DHX36KO DEGs),up,36,-227.84810126582283,3.148847418451697,0.8947447800592716,41
DHX36KO,WT (DHX36KO DEGs),up,37,-177.21518987341778,2.9173050226428643,0.8199847289343827,41
DHX36KO,WT (DHX36KO DEGs),up,38,-126.58227848101274,2.9809720353576226,0.8641689965702218,41
DHX36KO,WT (DHX36KO DEGs),up,39,-75.94936708860769,2.666556675511647,0.7992395058127356,41
DHX36KO,WT (DHX36KO DEGs),up,40,-25.316455696202638,2.5450864197180523,0.828163241532212,41
DHX36KO,WT (DHX36KO DEGs),up,41,25.31645569620241,2.4731043140481157,0.8337571769147982,41
DHX36KO,WT (DHX36KO DEGs),up,42,75.94936708860769,2.7119920882946107,1.0266277915925428,41
DHX36KO,WT (DHX36KO DEGs),up,43,126.58227848101251,2.552011402040962,0.9063779202669673,41
DHX36KO,WT (DHX36KO DEGs),up,44,177.21518987341778,2.2194255426841054,0.7446002074313346,41
DHX36KO,WT (DHX36KO DEGs),up,45,227.8481012658226,2.377611887532521,0.8909944117509222,41
DHX36KO,WT (DHX36KO DEGs),up,46,278.4810126582279,2.521849418888247,0.9269884368216099,41
DHX36KO,WT (DHX36KO DEGs),up,47,329.1139240506327,2.167008283099508,0.6066422790490976,41
DHX36KO,WT (DHX36KO DEGs),up,48,379.746835443038,1.95896162984817,0.44118003350063034,41
DHX36KO,WT (DHX36KO DEGs),up,49,430.37974683544326,1.8092625764521157,0.33231644575862895,41
DHX36KO,WT (DHX36KO DEGs),up,50,481.0126582278481,1.6386242067135446,0.2616067079122242,41
DHX36KO,WT (DHX36KO DEGs),up,51,531.6455696202534,1.5457746432079533,0.24587709707034697,41
DHX36KO,WT (DHX36KO DEGs),up,52,582.2784810126582,1.4299140816393907,0.20165284807773595,41
DHX36KO,WT (DHX36KO DEGs),up,53,632.9113924050635,1.4367764954450655,0.2037801481580426,41
DHX36KO,WT (DHX36KO DEGs),up,54,683.5443037974683,1.4172361879620126,0.22589855088084365,41
DHX36KO,WT (DHX36KO DEGs),up,55,734.1772151898736,1.384885236829277,0.2483562869788215,41
DHX36KO,WT (DHX36KO DEGs),up,56,784.8101265822784,1.4978601039328228,0.3206507961761424,41
DHX36KO,WT (DHX36KO DEGs),up,57,835.4430379746836,1.7100275387221235,0.43513587971636175,41
DHX36KO,WT (DHX36KO DEGs),up,58,886.0759493670885,1.9441111135095115,0.5707971427061893,41
DHX36KO,WT (DHX36KO DEGs),up,59,936.7088607594937,2.198087580010174,0.7584774980954447,41
DHX36KO,WT (DHX36KO DEGs),up,60,987.3417721518986,2.4958240210331555,1.007390277214441,41
DHX36KO,WT (DHX36KO DEGs),up,61,1037.9746835443038,2.6005460276254793,1.0361191926950168,41
