ko,metric,kw_stat,kw_p,n
DHX36KO,DeepG4 prob,118.81992533774799,1.5797233692725218e-26,147495
DHX36KO,pqsfinder score,207.7334997660974,7.784732118021393e-46,130863
DHX36KO,G4Hunter (PQS),107.58044114060652,4.357165196253172e-24,130863
FANCJKO,DeepG4 prob,18.660271766777615,8.871018203691871e-5,147492
FANCJKO,pqsfinder score,31.492190269421034,1.4506337301794414e-7,130861
FANCJKO,G4Hunter (PQS),14.69492490209692,6.442250405527168e-4,130861
dKO,DeepG4 prob,344.12119446981023,1.8837881815312431e-75,147495
dKO,pqsfinder score,474.23414029562986,1.0504245655354709e-103,130863
dKO,G4Hunter (PQS),189.06842050843636,8.796585646965441e-42,130863
