bin,position,mean,sem,ko,signal_geno,topology,direction,n_promoters,column
52,582.2784810126582,4.827640174467698,0.4485121286020554,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
53,632.9113924050635,4.723065773923421,0.43244268829598964,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
54,683.5443037974683,4.519473978381188,0.39567880670011063,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
55,734.1772151898736,4.393766422463256,0.3772626594502068,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
56,784.8101265822784,4.337714305892655,0.36231174544265143,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
57,835.4430379746836,4.343731840764167,0.36469931941275224,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
58,886.0759493670885,4.326547567778347,0.3603869834890869,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
59,936.7088607594937,4.326617642265718,0.35807589559851555,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
60,987.3417721518986,4.398298599667166,0.3857147739270449,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
61,1037.9746835443038,4.55245070085411,0.48052098254805814,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
62,1088.6075949367087,4.53453720022987,0.5557380244135894,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
63,1139.240506329114,4.515502218601336,0.6023882989832645,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
64,1189.8734177215188,4.553591692322179,0.6035786535838236,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
65,1240.506329113924,4.60322303070366,0.60818370483286055,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
66,1291.1392405063293,4.66592571181934,0.5723813775798018,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
67,1341.7721518987341,4.602194325190832,0.49867899668970006,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
68,1392.4050632911394,4.424776363460861,0.422888962864556,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
69,1443.0379746835442,4.2038259629221395,0.3837610416171664,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
70,1493.6708860759495,4.087942977116709,0.36776929662156904,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
71,1544.3037974683543,4.005105755102381,0.35462429199288426,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
72,1594.9367088607596,3.875024105106805,0.3412644636024646,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
73,1645.5696202531644,3.8296807598473293,0.34562637159946863,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
74,1696.2025316455697,3.8620695857460148,0.35236431760717773,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
75,1746.8354430379745,3.9438246402383843,0.3545216612326179,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
76,1797.4683544303798,3.9299017669575584,0.3596308889481279,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
77,1848.1012658227846,3.872439906894335,0.36206684553839497,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
78,1898.73417721519,3.9599309693721305,0.38608994725710427,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
79,1949.3670886075947,4.067736567477881,0.4153298611510304,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
80,2000,4.039578738360084,0.4237334146109315,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
1,-2000,5.2930848925874585,0.7469848728714595,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
2,-1949.367088607595,5.303091533170524,0.6588137537260941,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
3,-1898.73417721519,5.195653650764032,0.5381624707669332,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
4,-1848.1012658227849,5.116773342961115,0.5187930929705828,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
5,-1797.4683544303798,5.108881149346101,0.5225559669613604,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
6,-1746.8354430379748,4.936618345436475,0.49864676702716165,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
7,-1696.2025316455697,4.799854902250547,0.49257781255574906,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
8,-1645.5696202531644,4.810513175856137,0.5345923285256378,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
9,-1594.9367088607596,4.790166140671317,0.5738744289247741,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
10,-1544.3037974683543,4.602037312717303,0.549675279585045,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
11,-1493.6708860759495,4.644763382597173,0.5500244033084107,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
12,-1443.0379746835442,4.631411171257073,0.564837344138769,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
13,-1392.4050632911392,4.644454093263504,0.5290436230107118,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
14,-1341.7721518987341,4.585833810441037,0.49779947910802297,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
15,-1291.139240506329,4.815869718828945,0.5571241327735688,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
16,-1240.506329113924,5.186300691841342,0.7774538024316825,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
17,-1189.873417721519,5.316700016596639,0.8192375721956358,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
18,-1139.240506329114,5.310289973894755,0.7942496490825927,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
19,-1088.607594936709,5.2337695729106875,0.7222238313639585,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
20,-1037.9746835443038,5.145454657544481,0.6519887438073599,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
21,-987.3417721518988,5.108902800130506,0.6282879841598563,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
22,-936.7088607594937,5.162048834946138,0.6580273808523408,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
23,-886.0759493670887,5.079482135231613,0.66607523627148,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
24,-835.4430379746836,5.126950259979735,0.6576403415885779,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
25,-784.8101265822784,5.051310186825745,0.6106806018782297,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
26,-734.1772151898733,4.977495914854902,0.580314148871785,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
27,-683.5443037974683,4.900148200065532,0.5604155043132528,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
28,-632.9113924050632,4.9658303970918585,0.5360360400252023,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
29,-582.2784810126582,5.0812794620940025,0.5192139852498807,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
30,-531.6455696202531,5.200132838073352,0.5101670054311134,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
31,-481.0126582278481,5.124427468932267,0.5071703658590054,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
32,-430.37974683544303,5.051320294481643,0.4953480661421981,DHX36KO,WT,pooled,down,235,WT (DHX36KO DEGs)
