bin,position,mean,sem,genotype,group,none_mean,none_sem,ratio,ratio_sem
1,-2000,4.161240438084655,0.10136888847802034,WT,parallel,1.0883618584382424,0.010373323397542322,3.8233978945714577,0.10001417471735867
2,-1949.367088607595,4.1741935788198505,0.09995010905734285,WT,parallel,1.079287881411121,0.010195326013882143,3.8675441934567796,0.09955343440351541
3,-1898.73417721519,4.1694330956031385,0.09790023960202797,WT,parallel,1.0677776106293602,0.009977406992708982,3.9047766633218948,0.09867922507436065
4,-1848.1012658227849,4.17424663021494,0.09942409522458519,WT,parallel,1.0657250791707935,0.00997330357739665,3.916813737237738,0.10023486846172916
5,-1797.4683544303798,4.191958241210138,0.10281708236595997,WT,parallel,1.059970908959013,0.010031214164515714,3.9547861226937053,0.10396993282247398
6,-1746.8354430379748,4.207052932558574,0.10587024576165383,WT,parallel,1.0573308109793205,0.010075151280057343,3.9789372340922515,0.10706767846913917
7,-1696.2025316455697,4.231102694270036,0.10729032284890241,WT,parallel,1.0500019036473691,0.01002247086405938,4.029614307909867,0.10918062428711577
8,-1645.5696202531644,4.248563933837713,0.10597111537300156,WT,parallel,1.046121184277137,0.009943877515791535,4.061254085752449,0.10840564526099736
9,-1594.9367088607596,4.273375640042343,0.10478702734878126,WT,parallel,1.0465811398484715,0.009880384792140038,4.083176618929958,0.10728737080453171
10,-1544.3037974683543,4.275956300143597,0.10217682950963262,WT,parallel,1.0506429854556594,0.009957856735894628,4.069847093005749,0.1046222194112261
11,-1493.6708860759495,4.278258472131623,0.10325616647459374,WT,parallel,1.0592120992206575,0.010051339707978875,4.039095168266546,0.10474833770631106
12,-1443.0379746835442,4.282479962616035,0.10473903013202249,WT,parallel,1.0645575228674347,0.010094186119381262,4.022779296210296,0.10552277724484871
13,-1392.4050632911392,4.311491585898093,0.10668045315392884,WT,parallel,1.0601981404363623,0.010089632886802468,4.066684727558139,0.10780921626645841
14,-1341.7721518987341,4.352375390961917,0.1130477452793223,WT,parallel,1.0562914491833038,0.010051544488000889,4.120430392887358,0.1139796623835934
15,-1291.139240506329,4.407294268540512,0.11968094285617019,WT,parallel,1.0441269216423827,0.009921876551332025,4.221033072883476,0.1214384184292966
16,-1240.506329113924,4.449612564173328,0.12278658179120396,WT,parallel,1.0383041975397624,0.009879269422792398,4.285461404005281,0.12508921671877
