category,n_unclassified,n_classified,frac_unclassified,frac_classified,log2_OR,p,padj
5UTR,52,1466,0.003062426383981154,0.011202555344138526,-1.8696321435409036,5.674116549102433e-30,8.51117482365365e-30
enhancer,202,6181,0.011896348645465253,0.04723260203418843,-2.038389813025474,3.065920183737159e-134,6.131840367474318e-134
genebody,5843,47228,0.3441107184923439,0.36089651009070556,-0.10606306321666333,1.7559390428563153e-5,1.7559390428563153e-5
intergenic,8381,47251,0.4935806831566549,0.36107226641602286,0.7863141917296924,3.813977132619832e-240,2.2883862795718992e-239
intron1,2003,18492,0.117962308598351,0.14130808555512253,-0.29893841825208695,3.3955310586026846e-17,4.0746372703232216e-17
promoter,499,10245,0.029387514723203768,0.0782879805598221,-1.4868301598163276,2.698507592572693e-145,8.09552277771808e-145
