bin,position,mean,sem,genotype,class2,n_peaks,class_label
13,-1392.4050632911392,3.0985899230686824,0.05193838690362408,dKO,unclassified,16000,No canonical PQS
14,-1341.7721518987341,3.0735307431815566,0.04980942369242021,dKO,unclassified,16000,No canonical PQS
15,-1291.139240506329,3.0458392386037607,0.04799622485808684,dKO,unclassified,16000,No canonical PQS
16,-1240.506329113924,3.0141195939960577,0.04827298260730407,dKO,unclassified,16000,No canonical PQS
17,-1189.873417721519,2.969992089345604,0.04784243692454434,dKO,unclassified,16000,No canonical PQS
18,-1139.240506329114,2.9149411144861084,0.04479783367186587,dKO,unclassified,16000,No canonical PQS
19,-1088.607594936709,2.8704504308296244,0.04287320357506119,dKO,unclassified,16000,No canonical PQS
20,-1037.9746835443038,2.8099526728982727,0.04013615969774715,dKO,unclassified,16000,No canonical PQS
21,-987.3417721518988,2.7415644546586773,0.03731258062825589,dKO,unclassified,16000,No canonical PQS
22,-936.7088607594937,2.682658635182331,0.035273407112722366,dKO,unclassified,16000,No canonical PQS
23,-886.0759493670887,2.6377502037406466,0.03257169073458905,dKO,unclassified,16000,No canonical PQS
24,-835.4430379746836,2.6100286134446162,0.02942822423124703,dKO,unclassified,16000,No canonical PQS
25,-784.8101265822784,2.6211652618270618,0.027481633547068052,dKO,unclassified,16000,No canonical PQS
26,-734.1772151898733,2.6792377360724906,0.027515836535375697,dKO,unclassified,16000,No canonical PQS
27,-683.5443037974683,2.7779269940590856,0.029671398979021685,dKO,unclassified,16000,No canonical PQS
28,-632.9113924050632,2.9584741907263297,0.033740169766482926,dKO,unclassified,16000,No canonical PQS
29,-582.2784810126582,3.2223165841631096,0.037908560844568014,dKO,unclassified,16000,No canonical PQS
30,-531.6455696202531,3.5884293107828498,0.04094362255584431,dKO,unclassified,16000,No canonical PQS
31,-481.0126582278481,4.108873484159261,0.04602790284403156,dKO,unclassified,16000,No canonical PQS
32,-430.37974683544303,4.787350257530511,0.053632891579370644,dKO,unclassified,16000,No canonical PQS
33,-379.746835443038,5.653394901998639,0.061689573535662325,dKO,unclassified,16000,No canonical PQS
34,-329.11392405063293,6.757595842032383,0.07012243955347225,dKO,unclassified,16000,No canonical PQS
35,-278.4810126582279,8.079759302026927,0.07764502015294064,dKO,unclassified,16000,No canonical PQS
36,-227.84810126582283,9.589670274190356,0.08485822763045392,dKO,unclassified,16000,No canonical PQS
37,-177.21518987341778,11.12754788242653,0.09137144949320809,dKO,unclassified,16000,No canonical PQS
38,-126.58227848101274,12.499364086872637,0.09725700698134457,dKO,unclassified,16000,No canonical PQS
39,-75.94936708860769,13.486919170089811,0.10209524111438731,dKO,unclassified,16000,No canonical PQS
40,-25.316455696202638,14.01673014463658,0.10563117749874906,dKO,unclassified,16000,No canonical PQS
41,25.31645569620241,14.017690546159546,0.10581918398619673,dKO,unclassified,16000,No canonical PQS
42,75.94936708860769,13.508414201790393,0.10305450356949868,dKO,unclassified,16000,No canonical PQS
43,126.58227848101251,12.504963930152803,0.09803355163643876,dKO,unclassified,16000,No canonical PQS
44,177.21518987341778,11.1406303126962,0.09066926541368413,dKO,unclassified,16000,No canonical PQS
45,227.8481012658226,9.610021419304559,0.0829515972005469,dKO,unclassified,16000,No canonical PQS
46,278.4810126582279,8.112709222545178,0.07541950799445567,dKO,unclassified,16000,No canonical PQS
47,329.1139240506327,6.778743497675955,0.06784096412295233,dKO,unclassified,16000,No canonical PQS
48,379.746835443038,5.68868820225656,0.05964224451960537,dKO,unclassified,16000,No canonical PQS
49,430.37974683544326,4.796795468095442,0.050918967707989385,dKO,unclassified,16000,No canonical PQS
50,481.0126582278481,4.100314346172859,0.04382025239761221,dKO,unclassified,16000,No canonical PQS
51,531.6455696202534,3.588936782837063,0.03843217854764365,dKO,unclassified,16000,No canonical PQS
52,582.2784810126582,3.214513060798645,0.03439412412963313,dKO,unclassified,16000,No canonical PQS
53,632.9113924050635,2.9429445271089176,0.03017689201809622,dKO,unclassified,16000,No canonical PQS
54,683.5443037974683,2.7626038951281706,0.027626930409967637,dKO,unclassified,16000,No canonical PQS
55,734.1772151898736,2.6567819965714214,0.026611189430140677,dKO,unclassified,16000,No canonical PQS
56,784.8101265822784,2.617382239154279,0.02706822710750499,dKO,unclassified,16000,No canonical PQS
57,835.4430379746836,2.6271349809676905,0.028904238711969933,dKO,unclassified,16000,No canonical PQS
58,886.0759493670885,2.6524001636105776,0.031199755407348945,dKO,unclassified,16000,No canonical PQS
59,936.7088607594937,2.701800175543477,0.03439761801014181,dKO,unclassified,16000,No canonical PQS
60,987.3417721518986,2.767189377401819,0.037466706469125546,dKO,unclassified,16000,No canonical PQS
61,1037.9746835443038,2.8174326229721802,0.039701998692735226,dKO,unclassified,16000,No canonical PQS
62,1088.6075949367087,2.8721525962253414,0.04319754792467001,dKO,unclassified,16000,No canonical PQS
63,1139.240506329114,2.9295313168911634,0.0478087441445319,dKO,unclassified,16000,No canonical PQS
64,1189.8734177215188,2.9829551755414903,0.051437966497121304,dKO,unclassified,16000,No canonical PQS
65,1240.506329113924,3.0359726183414955,0.05568408977297451,dKO,unclassified,16000,No canonical PQS
66,1291.1392405063293,3.097924877214581,0.06264715104375679,dKO,unclassified,16000,No canonical PQS
67,1341.7721518987341,3.1735533394359052,0.06848894511605547,dKO,unclassified,16000,No canonical PQS
68,1392.4050632911394,3.23550596743688,0.07043962072736758,dKO,unclassified,16000,No canonical PQS
69,1443.0379746835442,3.2746631548053027,0.06988873861928714,dKO,unclassified,16000,No canonical PQS
70,1493.6708860759495,3.3097064601668715,0.06660304902779626,dKO,unclassified,16000,No canonical PQS
71,1544.3037974683543,3.343967172186573,0.06527765972575494,dKO,unclassified,16000,No canonical PQS
72,1594.9367088607596,3.3553326915070416,0.06460226722803095,dKO,unclassified,16000,No canonical PQS
73,1645.5696202531644,3.347499140515427,0.06310727192558689,dKO,unclassified,16000,No canonical PQS
74,1696.2025316455697,3.3568903722254433,0.06288057776439496,dKO,unclassified,16000,No canonical PQS
75,1746.8354430379745,3.363952718219459,0.06395057761016965,dKO,unclassified,16000,No canonical PQS
76,1797.4683544303798,3.3692593584697943,0.06658971130868535,dKO,unclassified,16000,No canonical PQS
77,1848.1012658227846,3.368966836080551,0.06893735189624943,dKO,unclassified,16000,No canonical PQS
78,1898.73417721519,3.3643870153013866,0.06992333531946017,dKO,unclassified,16000,No canonical PQS
79,1949.3670886075947,3.3543071240329247,0.06847656594319829,dKO,unclassified,16000,No canonical PQS
80,2000,3.338535443904499,0.06628053954370242,dKO,unclassified,16000,No canonical PQS
1,-2000,4.4214888084028665,0.07010438547147584,dKO,classified,16000,Classified (P/AP/H)
2,-1949.367088607595,4.403908021261294,0.07034793693090544,dKO,classified,16000,Classified (P/AP/H)
3,-1898.73417721519,4.400091890465568,0.0698506000701594,dKO,classified,16000,Classified (P/AP/H)
4,-1848.1012658227849,4.371259059904019,0.06803579285271655,dKO,classified,16000,Classified (P/AP/H)
5,-1797.4683544303798,4.332867000899514,0.0666198195558701,dKO,classified,16000,Classified (P/AP/H)
6,-1746.8354430379748,4.288959458987316,0.06581680187742146,dKO,classified,16000,Classified (P/AP/H)
7,-1696.2025316455697,4.238734354808529,0.06464122744435043,dKO,classified,16000,Classified (P/AP/H)
8,-1645.5696202531644,4.207011431102455,0.06289988904513373,dKO,classified,16000,Classified (P/AP/H)
9,-1594.9367088607596,4.181126915285389,0.06107583038460289,dKO,classified,16000,Classified (P/AP/H)
10,-1544.3037974683543,4.160534929888844,0.059584393057160824,dKO,classified,16000,Classified (P/AP/H)
11,-1493.6708860759495,4.166242777573566,0.059548861621423435,dKO,classified,16000,Classified (P/AP/H)
12,-1443.0379746835442,4.1870220704161625,0.05955371152692476,dKO,classified,16000,Classified (P/AP/H)
13,-1392.4050632911392,4.1892569570609925,0.05911289474908621,dKO,classified,16000,Classified (P/AP/H)
14,-1341.7721518987341,4.173159724292904,0.05813793518750944,dKO,classified,16000,Classified (P/AP/H)
15,-1291.139240506329,4.205783880129804,0.0577937193239674,dKO,classified,16000,Classified (P/AP/H)
16,-1240.506329113924,4.235635772738805,0.0573406094099254,dKO,classified,16000,Classified (P/AP/H)
17,-1189.873417721519,4.27792049704805,0.05680891972420676,dKO,classified,16000,Classified (P/AP/H)
18,-1139.240506329114,4.297008385442346,0.05609727485441893,dKO,classified,16000,Classified (P/AP/H)
19,-1088.607594936709,4.368557084751477,0.05661469004985494,dKO,classified,16000,Classified (P/AP/H)
20,-1037.9746835443038,4.43943759210075,0.05689160741894917,dKO,classified,16000,Classified (P/AP/H)
21,-987.3417721518988,4.546948306249082,0.05856486596365698,dKO,classified,16000,Classified (P/AP/H)
22,-936.7088607594937,4.712573862705529,0.06282254466138903,dKO,classified,16000,Classified (P/AP/H)
23,-886.0759493670887,4.931939719111124,0.07050934539820171,dKO,classified,16000,Classified (P/AP/H)
24,-835.4430379746836,5.190951641073525,0.0790068525503157,dKO,classified,16000,Classified (P/AP/H)
25,-784.8101265822784,5.540920751884778,0.08864611719129362,dKO,classified,16000,Classified (P/AP/H)
26,-734.1772151898733,5.956790559164733,0.09708062763205182,dKO,classified,16000,Classified (P/AP/H)
27,-683.5443037974683,6.491355959401627,0.10779072988785725,dKO,classified,16000,Classified (P/AP/H)
28,-632.9113924050632,7.104354308177233,0.1175173650249907,dKO,classified,16000,Classified (P/AP/H)
29,-582.2784810126582,7.814164482291887,0.12516906206925837,dKO,classified,16000,Classified (P/AP/H)
30,-531.6455696202531,8.634114314838747,0.13035812573393626,dKO,classified,16000,Classified (P/AP/H)
31,-481.0126582278481,9.587595504643819,0.13538539884271603,dKO,classified,16000,Classified (P/AP/H)
32,-430.37974683544303,10.682602417468777,0.14158538787223368,dKO,classified,16000,Classified (P/AP/H)
33,-379.746835443038,11.948023839342246,0.14922253028327692,dKO,classified,16000,Classified (P/AP/H)
34,-329.11392405063293,13.317838069612682,0.1574593831813545,dKO,classified,16000,Classified (P/AP/H)
35,-278.4810126582279,14.818042597650438,0.16432973829620434,dKO,classified,16000,Classified (P/AP/H)
36,-227.84810126582283,16.347137716712258,0.1673747276576693,dKO,classified,16000,Classified (P/AP/H)
37,-177.21518987341778,17.81781475050211,0.17032289104501117,dKO,classified,16000,Classified (P/AP/H)
38,-126.58227848101274,19.181049453728846,0.17612580838835043,dKO,classified,16000,Classified (P/AP/H)
39,-75.94936708860769,20.207013044595968,0.17989049354212558,dKO,classified,16000,Classified (P/AP/H)
40,-25.316455696202638,20.71167841231227,0.18117783690936762,dKO,classified,16000,Classified (P/AP/H)
41,25.31645569620241,20.700257291585803,0.18372896682695267,dKO,classified,16000,Classified (P/AP/H)
42,75.94936708860769,20.189195319375298,0.18459810618133843,dKO,classified,16000,Classified (P/AP/H)
43,126.58227848101251,19.169032699781557,0.1835359875436524,dKO,classified,16000,Classified (P/AP/H)
44,177.21518987341778,17.821898799012452,0.18186438977756617,dKO,classified,16000,Classified (P/AP/H)
45,227.8481012658226,16.270186350575734,0.1771220437994931,dKO,classified,16000,Classified (P/AP/H)
46,278.4810126582279,14.654018901125193,0.16823603323989772,dKO,classified,16000,Classified (P/AP/H)
47,329.1139240506327,13.114617435780268,0.15771189190727106,dKO,classified,16000,Classified (P/AP/H)
48,379.746835443038,11.71233952522273,0.14926639065874336,dKO,classified,16000,Classified (P/AP/H)
49,430.37974683544326,10.483353552969694,0.13639699692809598,dKO,classified,16000,Classified (P/AP/H)
50,481.0126582278481,9.386127213265052,0.12445828945937312,dKO,classified,16000,Classified (P/AP/H)
51,531.6455696202534,8.466638513765435,0.115982934325268,dKO,classified,16000,Classified (P/AP/H)
52,582.2784810126582,7.668028607985874,0.1083984982324576,dKO,classified,16000,Classified (P/AP/H)
53,632.9113924050635,6.9813108928088345,0.10011191949612952,dKO,classified,16000,Classified (P/AP/H)
54,683.5443037974683,6.394247168388864,0.09113215690721978,dKO,classified,16000,Classified (P/AP/H)
55,734.1772151898736,5.893305514236142,0.08356848361932327,dKO,classified,16000,Classified (P/AP/H)
56,784.8101265822784,5.4699379324837025,0.0762005640773832,dKO,classified,16000,Classified (P/AP/H)
57,835.4430379746836,5.1387828147551415,0.07166692357591403,dKO,classified,16000,Classified (P/AP/H)
58,886.0759493670885,4.8762278974924484,0.06964848410578788,dKO,classified,16000,Classified (P/AP/H)
59,936.7088607594937,4.690267768458972,0.0689399235594803,dKO,classified,16000,Classified (P/AP/H)
60,987.3417721518986,4.554857405409912,0.06755301089344863,dKO,classified,16000,Classified (P/AP/H)
61,1037.9746835443038,4.455989275873999,0.06573581309906346,dKO,classified,16000,Classified (P/AP/H)
62,1088.6075949367087,4.379496203950395,0.06352717884270079,dKO,classified,16000,Classified (P/AP/H)
63,1139.240506329114,4.3241782066849375,0.06244839817446925,dKO,classified,16000,Classified (P/AP/H)
64,1189.8734177215188,4.295401557665368,0.061274567329524125,dKO,classified,16000,Classified (P/AP/H)
65,1240.506329113924,4.265313285760681,0.06020364691423024,dKO,classified,16000,Classified (P/AP/H)
66,1291.1392405063293,4.261790397966951,0.06023941663635073,dKO,classified,16000,Classified (P/AP/H)
67,1341.7721518987341,4.298158824193875,0.06163618168080489,dKO,classified,16000,Classified (P/AP/H)
68,1392.4050632911394,4.324404206076761,0.06405923075574074,dKO,classified,16000,Classified (P/AP/H)
69,1443.0379746835442,4.350732651732663,0.06725140439373499,dKO,classified,16000,Classified (P/AP/H)
70,1493.6708860759495,4.362520106814951,0.06970325114788713,dKO,classified,16000,Classified (P/AP/H)
71,1544.3037974683543,4.3865271751466395,0.07219033158527272,dKO,classified,16000,Classified (P/AP/H)
72,1594.9367088607596,4.403852789677729,0.07355156809668802,dKO,classified,16000,Classified (P/AP/H)
73,1645.5696202531644,4.39501400471424,0.07403665548336517,dKO,classified,16000,Classified (P/AP/H)
74,1696.2025316455697,4.409493327798595,0.07399691469022576,dKO,classified,16000,Classified (P/AP/H)
75,1746.8354430379745,4.439434566166202,0.07344515039244863,dKO,classified,16000,Classified (P/AP/H)
76,1797.4683544303798,4.441664973449558,0.07117777490279244,dKO,classified,16000,Classified (P/AP/H)
77,1848.1012658227846,4.4535686969366175,0.06914279893717722,dKO,classified,16000,Classified (P/AP/H)
78,1898.73417721519,4.469304242590865,0.06957275289219841,dKO,classified,16000,Classified (P/AP/H)
79,1949.3670886075947,4.477263190033336,0.07044649279853081,dKO,classified,16000,Classified (P/AP/H)
80,2000,4.489888046369404,0.07237217007565129,dKO,classified,16000,Classified (P/AP/H)
