bin,position,mean,sem,genotype,feature,n_regions
3,-1898.73417721519,2.4290916554737807,0.047412651715920004,WT,5UTR,16000
4,-1848.1012658227849,2.4309228387519086,0.04659615145681907,WT,5UTR,16000
5,-1797.4683544303798,2.4448512281847967,0.046436695092688045,WT,5UTR,16000
6,-1746.8354430379748,2.450180479720127,0.04695474697436437,WT,5UTR,16000
7,-1696.2025316455697,2.430203059259052,0.046937735127329065,WT,5UTR,16000
8,-1645.5696202531644,2.431210708648499,0.047279046347036856,WT,5UTR,16000
9,-1594.9367088607596,2.422300657569185,0.04706016291994627,WT,5UTR,16000
10,-1544.3037974683543,2.409126166155622,0.04668863249614838,WT,5UTR,16000
11,-1493.6708860759495,2.396393380065243,0.0465951745893538,WT,5UTR,16000
12,-1443.0379746835442,2.398007066923186,0.04780334036660235,WT,5UTR,16000
13,-1392.4050632911392,2.4049028759179922,0.049657236451821005,WT,5UTR,16000
14,-1341.7721518987341,2.420463362228954,0.05051581622745466,WT,5UTR,16000
15,-1291.139240506329,2.4194993646822733,0.05005047722964741,WT,5UTR,16000
16,-1240.506329113924,2.4149756154167044,0.04967662475135617,WT,5UTR,16000
17,-1189.873417721519,2.4267808599766245,0.050580512830052,WT,5UTR,16000
18,-1139.240506329114,2.4470640313196914,0.05147120431167147,WT,5UTR,16000
19,-1088.607594936709,2.4550946593161775,0.051397673841276095,WT,5UTR,16000
20,-1037.9746835443038,2.4734262517315475,0.052118267830004866,WT,5UTR,16000
21,-987.3417721518988,2.4908248143552867,0.053635537826062174,WT,5UTR,16000
22,-936.7088607594937,2.5065742218183855,0.05511694198108056,WT,5UTR,16000
23,-886.0759493670887,2.510978018380777,0.056262706593016916,WT,5UTR,16000
24,-835.4430379746836,2.5181317015698554,0.056464779590016737,WT,5UTR,16000
25,-784.8101265822784,2.538749745969562,0.056213177586909094,WT,5UTR,16000
26,-734.1772151898733,2.5525626314531027,0.05520835102370125,WT,5UTR,16000
27,-683.5443037974683,2.5828799083147196,0.05445366004103823,WT,5UTR,16000
28,-632.9113924050632,2.6039991113433545,0.054997513736517324,WT,5UTR,16000
29,-582.2784810126582,2.645407506491632,0.05788218739051269,WT,5UTR,16000
30,-531.6455696202531,2.683758500613605,0.061267568634209575,WT,5UTR,16000
31,-481.0126582278481,2.7378872382654516,0.06497650192724391,WT,5UTR,16000
32,-430.37974683544303,2.7818403146470976,0.06809212395497154,WT,5UTR,16000
33,-379.746835443038,2.831283588997128,0.07089006862826139,WT,5UTR,16000
34,-329.11392405063293,2.8765725623211895,0.07362447125579642,WT,5UTR,16000
35,-278.4810126582279,2.9167654483823036,0.0748227169944747,WT,5UTR,16000
36,-227.84810126582283,2.9365661648817003,0.07351644948403838,WT,5UTR,16000
37,-177.21518987341778,2.9428990210304344,0.07225599932610512,WT,5UTR,16000
38,-126.58227848101274,2.9462639161144177,0.07013356337569462,WT,5UTR,16000
39,-75.94936708860769,2.927503487410316,0.06756720293528046,WT,5UTR,16000
40,-25.316455696202638,2.878177573495287,0.06445280295900363,WT,5UTR,16000
41,25.31645569620241,2.8246799572289962,0.062179293366036135,WT,5UTR,16000
42,75.94936708860769,2.7636121144449,0.060994006208812526,WT,5UTR,16000
43,126.58227848101251,2.7094369231021203,0.05993835733325568,WT,5UTR,16000
44,177.21518987341778,2.6636993051712077,0.05741310274861706,WT,5UTR,16000
45,227.8481012658226,2.6247843808522897,0.05464138569396473,WT,5UTR,16000
46,278.4810126582279,2.5823442031966555,0.05352370450326326,WT,5UTR,16000
47,329.1139240506327,2.546344174368521,0.05239353168641637,WT,5UTR,16000
48,379.746835443038,2.5311598517831437,0.052618631648868305,WT,5UTR,16000
49,430.37974683544326,2.5182499313098883,0.05313214691209002,WT,5UTR,16000
50,481.0126582278481,2.516045033342138,0.05469801197532444,WT,5UTR,16000
51,531.6455696202534,2.515197349999178,0.05622295775358086,WT,5UTR,16000
52,582.2784810126582,2.51542896341552,0.05775063437888584,WT,5UTR,16000
53,632.9113924050635,2.5212257938835263,0.060376141662584745,WT,5UTR,16000
54,683.5443037974683,2.511484287406348,0.061778329441962564,WT,5UTR,16000
55,734.1772151898736,2.4933880527515355,0.061450964490881325,WT,5UTR,16000
56,784.8101265822784,2.478873394983491,0.06136725684883842,WT,5UTR,16000
57,835.4430379746836,2.47287193381443,0.06000294162737162,WT,5UTR,16000
58,886.0759493670885,2.471357894565456,0.05762250922599585,WT,5UTR,16000
59,936.7088607594937,2.465191891179018,0.0559295438818708,WT,5UTR,16000
60,987.3417721518986,2.4581427426190796,0.054316632039168936,WT,5UTR,16000
61,1037.9746835443038,2.455232472896944,0.053863465463275584,WT,5UTR,16000
62,1088.6075949367087,2.465543321986358,0.054479516764220304,WT,5UTR,16000
63,1139.240506329114,2.475077280427633,0.05482928018467909,WT,5UTR,16000
64,1189.8734177215188,2.4875827465336755,0.054738910655603074,WT,5UTR,16000
65,1240.506329113924,2.4693060435944534,0.05399220466609749,WT,5UTR,16000
66,1291.1392405063293,2.456881072681339,0.053106767195261445,WT,5UTR,16000
67,1341.7721518987341,2.4423981458819077,0.05196669539148561,WT,5UTR,16000
68,1392.4050632911394,2.4219507904611,0.050834985499916795,WT,5UTR,16000
69,1443.0379746835442,2.418227296839955,0.0505534831698253,WT,5UTR,16000
70,1493.6708860759495,2.4197956284341755,0.05068833960619358,WT,5UTR,16000
71,1544.3037974683543,2.4086266299429195,0.050289252623914676,WT,5UTR,16000
72,1594.9367088607596,2.3979120650776404,0.05000554565246428,WT,5UTR,16000
73,1645.5696202531644,2.3805721517416103,0.04949714454502128,WT,5UTR,16000
74,1696.2025316455697,2.3647688388855794,0.048111027682485714,WT,5UTR,16000
75,1746.8354430379745,2.356560022653727,0.04675925499096171,WT,5UTR,16000
76,1797.4683544303798,2.348639592891307,0.045626829018103714,WT,5UTR,16000
77,1848.1012658227846,2.3420417750234077,0.04513498070992842,WT,5UTR,16000
78,1898.73417721519,2.32926995134467,0.045038789831592686,WT,5UTR,16000
79,1949.3670886075947,2.317643649980506,0.044859959834927375,WT,5UTR,16000
80,2000,2.315505959643661,0.045968984878108354,WT,5UTR,16000
1,-2000,2.523293998800678,0.05394524619900143,WT,intron1,16000
2,-1949.367088607595,2.539058935250745,0.055096565673779546,WT,intron1,16000
3,-1898.73417721519,2.5391125677633393,0.055989031234434085,WT,intron1,16000
4,-1848.1012658227849,2.5162243833899756,0.055482901693878844,WT,intron1,16000
5,-1797.4683544303798,2.512878743683075,0.05525696306059857,WT,intron1,16000
6,-1746.8354430379748,2.5018191283518645,0.05409621420034201,WT,intron1,16000
7,-1696.2025316455697,2.493262656083505,0.05559677106552196,WT,intron1,16000
8,-1645.5696202531644,2.500583845613239,0.05786357653872346,WT,intron1,16000
9,-1594.9367088607596,2.5090794310758304,0.059599437887526745,WT,intron1,16000
10,-1544.3037974683543,2.5145059264640452,0.061158886368187705,WT,intron1,16000
11,-1493.6708860759495,2.5078999203848746,0.062334293613612986,WT,intron1,16000
