bin,position,mean,sem,genotype,feature,n_regions
36,-227.84810126582283,2.2222665900773486,0.07408799455583481,WT,lncRNA,9405
37,-177.21518987341778,2.2437146571767617,0.07681873116188742,WT,lncRNA,9405
38,-126.58227848101274,2.2609272425025138,0.07772797725491097,WT,lncRNA,9405
39,-75.94936708860769,2.2484238762080504,0.07368362984332039,WT,lncRNA,9405
40,-25.316455696202638,2.219347829275547,0.06567895617602978,WT,lncRNA,9405
41,25.31645569620241,2.1983132432081827,0.05942635372084979,WT,lncRNA,9405
42,75.94936708860769,2.180580708899388,0.05448757515065782,WT,lncRNA,9405
43,126.58227848101251,2.159015807500988,0.05148451762176856,WT,lncRNA,9405
44,177.21518987341778,2.154831578018488,0.05097300661633258,WT,lncRNA,9405
45,227.8481012658226,2.160687697878052,0.05348375699177256,WT,lncRNA,9405
46,278.4810126582279,2.1567215341500585,0.056001524060906194,WT,lncRNA,9405
47,329.1139240506327,2.1647172707501263,0.06014116064988376,WT,lncRNA,9405
48,379.746835443038,2.174551812772967,0.06222531038464061,WT,lncRNA,9405
49,430.37974683544326,2.1692053766709236,0.060478550204970685,WT,lncRNA,9405
50,481.0126582278481,2.1471596574624363,0.059092043115979494,WT,lncRNA,9405
51,531.6455696202534,2.14331354765096,0.061378404897524,WT,lncRNA,9405
52,582.2784810126582,2.147503266626501,0.06448452452469096,WT,lncRNA,9405
53,632.9113924050635,2.152414745270591,0.06639959276403692,WT,lncRNA,9405
54,683.5443037974683,2.1480941105042803,0.0655786699910364,WT,lncRNA,9405
55,734.1772151898736,2.1517598079673683,0.0663639773762681,WT,lncRNA,9405
56,784.8101265822784,2.1633355335742483,0.06833683531969302,WT,lncRNA,9405
57,835.4430379746836,2.168823363688388,0.0699096036365468,WT,lncRNA,9405
58,886.0759493670885,2.1484957399174487,0.06869700169463157,WT,lncRNA,9405
59,936.7088607594937,2.123778480851329,0.06587673143519338,WT,lncRNA,9405
60,987.3417721518986,2.104356075787361,0.06335893023286862,WT,lncRNA,9405
61,1037.9746835443038,2.081861354738625,0.05928945501425971,WT,lncRNA,9405
62,1088.6075949367087,2.068302083264032,0.05700350357646042,WT,lncRNA,9405
63,1139.240506329114,2.0507100285064768,0.05473377994860577,WT,lncRNA,9405
64,1189.8734177215188,2.0398062330463884,0.05260672567887184,WT,lncRNA,9405
65,1240.506329113924,2.0234146504170987,0.050871822739739,WT,lncRNA,9405
66,1291.1392405063293,1.9961678163023686,0.04770077963533198,WT,lncRNA,9405
67,1341.7721518987341,1.983314057419764,0.045257040168935184,WT,lncRNA,9405
68,1392.4050632911394,1.9892765156331627,0.04596676354473435,WT,lncRNA,9405
69,1443.0379746835442,1.9866841605158865,0.04654496135952266,WT,lncRNA,9405
70,1493.6708860759495,1.9858428837970017,0.0468652382533569,WT,lncRNA,9405
71,1544.3037974683543,1.983285101048045,0.04728838014309422,WT,lncRNA,9405
72,1594.9367088607596,1.9913481015580197,0.04775261672504797,WT,lncRNA,9405
73,1645.5696202531644,2.001052177075389,0.04806263461388131,WT,lncRNA,9405
74,1696.2025316455697,1.9939853795456557,0.047849302632136825,WT,lncRNA,9405
75,1746.8354430379745,1.996136054552062,0.048030492912412785,WT,lncRNA,9405
76,1797.4683544303798,1.996187765299904,0.04733004946970239,WT,lncRNA,9405
77,1848.1012658227846,1.9946565339338418,0.04654569197206034,WT,lncRNA,9405
78,1898.73417721519,1.9899532358263445,0.047673070822937015,WT,lncRNA,9405
79,1949.3670886075947,2.009320256616535,0.05312382055670024,WT,lncRNA,9405
80,2000,2.027284303961457,0.05772822696940237,WT,lncRNA,9405
1,-2000,3.671730661582408,0.07286293796723532,DHX36KO,promoter,16000
2,-1949.367088607595,3.660169618349994,0.07242377631396185,DHX36KO,promoter,16000
3,-1898.73417721519,3.6576806742641095,0.07162523747233973,DHX36KO,promoter,16000
4,-1848.1012658227849,3.658684426361492,0.0720706214877441,DHX36KO,promoter,16000
5,-1797.4683544303798,3.6602234278342873,0.07268304732041597,DHX36KO,promoter,16000
6,-1746.8354430379748,3.662362964388761,0.0730035427120223,DHX36KO,promoter,16000
7,-1696.2025316455697,3.677551634452323,0.07318741475840386,DHX36KO,promoter,16000
8,-1645.5696202531644,3.6802861657113417,0.0717035460866596,DHX36KO,promoter,16000
9,-1594.9367088607596,3.6828614878526755,0.07044699311084074,DHX36KO,promoter,16000
10,-1544.3037974683543,3.664077694652561,0.0691837629322496,DHX36KO,promoter,16000
11,-1493.6708860759495,3.638000766752938,0.06769213671512046,DHX36KO,promoter,16000
12,-1443.0379746835442,3.637033186856467,0.06720541934149307,DHX36KO,promoter,16000
13,-1392.4050632911392,3.630184263481848,0.06830756928044236,DHX36KO,promoter,16000
14,-1341.7721518987341,3.6380960623583785,0.07121321418153055,DHX36KO,promoter,16000
15,-1291.139240506329,3.6456172049802222,0.0734219882824173,DHX36KO,promoter,16000
16,-1240.506329113924,3.659412477758199,0.07449853276946633,DHX36KO,promoter,16000
17,-1189.873417721519,3.6769366921556625,0.07505757131968264,DHX36KO,promoter,16000
18,-1139.240506329114,3.671585444452277,0.07348737773550958,DHX36KO,promoter,16000
19,-1088.607594936709,3.6737821611733286,0.07268406041992301,DHX36KO,promoter,16000
20,-1037.9746835443038,3.688111288223382,0.07208373225394475,DHX36KO,promoter,16000
21,-987.3417721518988,3.7153686641124026,0.07236314618944578,DHX36KO,promoter,16000
22,-936.7088607594937,3.718670136551943,0.07203854998460123,DHX36KO,promoter,16000
23,-886.0759493670887,3.7145060254830575,0.07040506809812996,DHX36KO,promoter,16000
24,-835.4430379746836,3.7128351897162912,0.06867081460067662,DHX36KO,promoter,16000
25,-784.8101265822784,3.7208449578812517,0.06751251840860635,DHX36KO,promoter,16000
26,-734.1772151898733,3.758768459734693,0.06834485494412539,DHX36KO,promoter,16000
27,-683.5443037974683,3.8038321398512855,0.06899848122302621,DHX36KO,promoter,16000
28,-632.9113924050632,3.8571226821631974,0.07032745496740866,DHX36KO,promoter,16000
29,-582.2784810126582,3.902374051545685,0.07109986170509264,DHX36KO,promoter,16000
30,-531.6455696202531,3.9507609023572834,0.0734172858522889,DHX36KO,promoter,16000
31,-481.0126582278481,4.035074126468954,0.07766881930852058,DHX36KO,promoter,16000
32,-430.37974683544303,4.140103071607146,0.08443221568540223,DHX36KO,promoter,16000
33,-379.746835443038,4.26255461282549,0.09089817848024886,DHX36KO,promoter,16000
34,-329.11392405063293,4.403088278427875,0.09896026324155739,DHX36KO,promoter,16000
35,-278.4810126582279,4.5785837202847635,0.10903192841517473,DHX36KO,promoter,16000
36,-227.84810126582283,4.7257100742075915,0.11819417674807971,DHX36KO,promoter,16000
37,-177.21518987341778,4.863751081927787,0.1262309573766383,DHX36KO,promoter,16000
38,-126.58227848101274,4.984198935257174,0.13133824913709857,DHX36KO,promoter,16000
39,-75.94936708860769,5.090154898466438,0.13358754027782874,DHX36KO,promoter,16000
40,-25.316455696202638,5.107642976165109,0.1308267860639975,DHX36KO,promoter,16000
41,25.31645569620241,5.060327232550112,0.12543110256302442,DHX36KO,promoter,16000
42,75.94936708860769,4.953857279351949,0.11794744439885575,DHX36KO,promoter,16000
43,126.58227848101251,4.842497096489511,0.11055386793702816,DHX36KO,promoter,16000
44,177.21518987341778,4.7425080442170655,0.10497289191064146,DHX36KO,promoter,16000
45,227.8481012658226,4.615174758987141,0.09992585678635038,DHX36KO,promoter,16000
46,278.4810126582279,4.466619146630049,0.09334297369910947,DHX36KO,promoter,16000
47,329.1139240506327,4.342981095610825,0.08871511400868423,DHX36KO,promoter,16000
48,379.746835443038,4.237514249010814,0.08398452233120587,DHX36KO,promoter,16000
49,430.37974683544326,4.144261185384773,0.07945376862598086,DHX36KO,promoter,16000
50,481.0126582278481,4.083256193451488,0.07731347098994816,DHX36KO,promoter,16000
51,531.6455696202534,4.0310727186421476,0.07795079405762433,DHX36KO,promoter,16000
52,582.2784810126582,4.000644746432049,0.07858054341243956,DHX36KO,promoter,16000
53,632.9113924050635,3.9653752245377802,0.07888338520637732,DHX36KO,promoter,16000
54,683.5443037974683,3.919097896215852,0.07907116875680091,DHX36KO,promoter,16000
55,734.1772151898736,3.8758850527615305,0.07856918384433192,DHX36KO,promoter,16000
56,784.8101265822784,3.851983176595118,0.07896009611391099,DHX36KO,promoter,16000
57,835.4430379746836,3.849424664639195,0.07928231406308121,DHX36KO,promoter,16000
58,886.0759493670885,3.8272705355070844,0.07980068858919188,DHX36KO,promoter,16000
59,936.7088607594937,3.825965751089398,0.08041745048770226,DHX36KO,promoter,16000
60,987.3417721518986,3.8263470353041105,0.08077181033891821,DHX36KO,promoter,16000
61,1037.9746835443038,3.8313615691780365,0.08273681728565821,DHX36KO,promoter,16000
62,1088.6075949367087,3.8225785380762782,0.08305439812468485,DHX36KO,promoter,16000
63,1139.240506329114,3.788879410307142,0.08358923694385835,DHX36KO,promoter,16000
64,1189.8734177215188,3.7700483731218806,0.08415470757183786,DHX36KO,promoter,16000
65,1240.506329113924,3.762163302290296,0.08354990973058003,DHX36KO,promoter,16000
66,1291.1392405063293,3.7576185898140904,0.08144869186281724,DHX36KO,promoter,16000
67,1341.7721518987341,3.76604555965362,0.07848740205842974,DHX36KO,promoter,16000
68,1392.4050632911394,3.752815525558904,0.0760613939464349,DHX36KO,promoter,16000
69,1443.0379746835442,3.7300296214855755,0.0758012285604253,DHX36KO,promoter,16000
70,1493.6708860759495,3.7151876795518772,0.07581034627579877,DHX36KO,promoter,16000
71,1544.3037974683543,3.6998600948682148,0.07635232340684366,DHX36KO,promoter,16000
72,1594.9367088607596,3.671904307854043,0.07634170771571386,DHX36KO,promoter,16000
73,1645.5696202531644,3.643583080653881,0.07479285779432769,DHX36KO,promoter,16000
74,1696.2025316455697,3.645362268524004,0.07347495143467275,DHX36KO,promoter,16000
75,1746.8354430379745,3.642796120176251,0.07209036109279145,DHX36KO,promoter,16000
76,1797.4683544303798,3.6484048190117977,0.07284445575818262,DHX36KO,promoter,16000
77,1848.1012658227846,3.6554163303439453,0.07433016932119622,DHX36KO,promoter,16000
78,1898.73417721519,3.6911417690176846,0.07818329342725255,DHX36KO,promoter,16000
79,1949.3670886075947,3.7131907489718086,0.08085062270953493,DHX36KO,promoter,16000
80,2000,3.701837605576333,0.07983816161912644,DHX36KO,promoter,16000
1,-2000,3.9123808792911343,0.07670902205403667,DHX36KO,5UTR,16000
2,-1949.367088607595,3.9020263246644724,0.07358920184471808,DHX36KO,5UTR,16000
3,-1898.73417721519,3.890672269086253,0.07104825704711902,DHX36KO,5UTR,16000
4,-1848.1012658227849,3.8872272116459645,0.06955640091692211,DHX36KO,5UTR,16000
5,-1797.4683544303798,3.885943841655619,0.06929738351405465,DHX36KO,5UTR,16000
6,-1746.8354430379748,3.8814590270880345,0.069544756134759,DHX36KO,5UTR,16000
7,-1696.2025316455697,3.8635918074818045,0.06933877610467279,DHX36KO,5UTR,16000
8,-1645.5696202531644,3.8561051987948236,0.06966269746578173,DHX36KO,5UTR,16000
9,-1594.9367088607596,3.8497208616781937,0.06948066832772223,DHX36KO,5UTR,16000
10,-1544.3037974683543,3.8334540276152147,0.06874217998952757,DHX36KO,5UTR,16000
11,-1493.6708860759495,3.821626161070025,0.06884171592374107,DHX36KO,5UTR,16000
12,-1443.0379746835442,3.827814304280226,0.07006504143919905,DHX36KO,5UTR,16000
13,-1392.4050632911392,3.8339945744733135,0.07180039307983696,DHX36KO,5UTR,16000
14,-1341.7721518987341,3.853379738978768,0.07320318226440091,DHX36KO,5UTR,16000
15,-1291.139240506329,3.865846042944911,0.0733473929021069,DHX36KO,5UTR,16000
16,-1240.506329113924,3.8624513576631614,0.07236214193650595,DHX36KO,5UTR,16000
17,-1189.873417721519,3.879268221423063,0.07313905912745976,DHX36KO,5UTR,16000
18,-1139.240506329114,3.9040751626603787,0.07426468295384109,DHX36KO,5UTR,16000
19,-1088.607594936709,3.9125168316576087,0.07525463823114346,DHX36KO,5UTR,16000
20,-1037.9746835443038,3.909973724379228,0.07570598817955994,DHX36KO,5UTR,16000
21,-987.3417721518988,3.933635819570454,0.07727634818960935,DHX36KO,5UTR,16000
22,-936.7088607594937,3.9634289746380165,0.07946177219445513,DHX36KO,5UTR,16000
23,-886.0759493670887,3.9639051430862358,0.07938453697914527,DHX36KO,5UTR,16000
24,-835.4430379746836,3.9747871799574224,0.0792970470930782,DHX36KO,5UTR,16000
25,-784.8101265822784,4.016084217892131,0.07961824443866053,DHX36KO,5UTR,16000
26,-734.1772151898733,4.034952703032205,0.07880321243445412,DHX36KO,5UTR,16000
27,-683.5443037974683,4.047628362275477,0.07786810229934125,DHX36KO,5UTR,16000
28,-632.9113924050632,4.084582068701574,0.07835237118178819,DHX36KO,5UTR,16000
29,-582.2784810126582,4.141575309304141,0.08205122479157462,DHX36KO,5UTR,16000
30,-531.6455696202531,4.207860334049866,0.08665491700323581,DHX36KO,5UTR,16000
31,-481.0126582278481,4.290022844480533,0.09192217524208067,DHX36KO,5UTR,16000
32,-430.37974683544303,4.357199983931034,0.09568276510576777,DHX36KO,5UTR,16000
33,-379.746835443038,4.42571787413306,0.09943480775402552,DHX36KO,5UTR,16000
34,-329.11392405063293,4.482402408718777,0.10317809826502317,DHX36KO,5UTR,16000
35,-278.4810126582279,4.525594872362292,0.10430999453904173,DHX36KO,5UTR,16000
36,-227.84810126582283,4.541067952812011,0.10271865753925508,DHX36KO,5UTR,16000
37,-177.21518987341778,4.5492053949841615,0.101819905315715,DHX36KO,5UTR,16000
38,-126.58227848101274,4.561446154147422,0.10006864262798623,DHX36KO,5UTR,16000
39,-75.94936708860769,4.548554246474264,0.0970227936083553,DHX36KO,5UTR,16000
40,-25.316455696202638,4.493469664638249,0.09332152806402673,DHX36KO,5UTR,16000
41,25.31645569620241,4.418067477561157,0.09011139466596059,DHX36KO,5UTR,16000
42,75.94936708860769,4.366801564157217,0.0895872511741157,DHX36KO,5UTR,16000
43,126.58227848101251,4.314593528057869,0.08850401122320792,DHX36KO,5UTR,16000
44,177.21518987341778,4.264561804260511,0.08612054187198863,DHX36KO,5UTR,16000
45,227.8481012658226,4.195421428280892,0.08274249293158119,DHX36KO,5UTR,16000
46,278.4810126582279,4.147328098482084,0.08078350350130332,DHX36KO,5UTR,16000
47,329.1139240506327,4.093200233053699,0.07801673102957979,DHX36KO,5UTR,16000
48,379.746835443038,4.0711867569496585,0.07732660933974161,DHX36KO,5UTR,16000
49,430.37974683544326,4.033867523731364,0.07764343092374543,DHX36KO,5UTR,16000
50,481.0126582278481,4.0281027668846185,0.07977677420132684,DHX36KO,5UTR,16000
51,531.6455696202534,4.017557834443293,0.08114963815803795,DHX36KO,5UTR,16000
52,582.2784810126582,4.019449546230906,0.08301119802982332,DHX36KO,5UTR,16000
53,632.9113924050635,4.015631848614488,0.08540901665466964,DHX36KO,5UTR,16000
54,683.5443037974683,3.9953268382417653,0.08670380756271227,DHX36KO,5UTR,16000
55,734.1772151898736,3.9828540935621883,0.08723377189572182,DHX36KO,5UTR,16000
56,784.8101265822784,3.958251445829462,0.08686476414695891,DHX36KO,5UTR,16000
57,835.4430379746836,3.9431063753356153,0.08525180017674953,DHX36KO,5UTR,16000
58,886.0759493670885,3.927565552326958,0.08194634498513849,DHX36KO,5UTR,16000
59,936.7088607594937,3.935291140508565,0.08064568122775587,DHX36KO,5UTR,16000
60,987.3417721518986,3.9393334286539097,0.07998689176604672,DHX36KO,5UTR,16000
61,1037.9746835443038,3.940995391260147,0.0797730699636001,DHX36KO,5UTR,16000
62,1088.6075949367087,3.94548341894658,0.08050647266997371,DHX36KO,5UTR,16000
63,1139.240506329114,3.9499624030066354,0.08050389111281492,DHX36KO,5UTR,16000
64,1189.8734177215188,3.9446799708818077,0.08040560138883633,DHX36KO,5UTR,16000
65,1240.506329113924,3.9306204202048676,0.0796809208195853,DHX36KO,5UTR,16000
66,1291.1392405063293,3.925018514650544,0.07890260568079197,DHX36KO,5UTR,16000
67,1341.7721518987341,3.9010948285571554,0.07769584414558259,DHX36KO,5UTR,16000
68,1392.4050632911394,3.8719922086821703,0.0763620707610703,DHX36KO,5UTR,16000
69,1443.0379746835442,3.851766578488706,0.07537012455985154,DHX36KO,5UTR,16000
70,1493.6708860759495,3.850847010933741,0.07524562998031395,DHX36KO,5UTR,16000
71,1544.3037974683543,3.854927177187066,0.07513368173222144,DHX36KO,5UTR,16000
72,1594.9367088607596,3.8539487878981826,0.07479059817633238,DHX36KO,5UTR,16000
73,1645.5696202531644,3.8362932516789403,0.07411126065182166,DHX36KO,5UTR,16000
74,1696.2025316455697,3.8149078661027964,0.07240067958972479,DHX36KO,5UTR,16000
75,1746.8354430379745,3.8061852319549936,0.07097688680610238,DHX36KO,5UTR,16000
76,1797.4683544303798,3.7721114416297286,0.06887404895846469,DHX36KO,5UTR,16000
77,1848.1012658227846,3.7491495683979283,0.06764507924355742,DHX36KO,5UTR,16000
78,1898.73417721519,3.7452748132451212,0.0669895365409966,DHX36KO,5UTR,16000
79,1949.3670886075947,3.735167088113156,0.06729689211131057,DHX36KO,5UTR,16000
80,2000,3.744295691970223,0.06825964756941165,DHX36KO,5UTR,16000
1,-2000,4.001073649466774,0.07792393151477174,DHX36KO,intron1,16000
2,-1949.367088607595,4.022959597539288,0.0789695509579841,DHX36KO,intron1,16000
3,-1898.73417721519,4.027416703045508,0.08057572833476918,DHX36KO,intron1,16000
4,-1848.1012658227849,4.018636873324026,0.08139956989696646,DHX36KO,intron1,16000
5,-1797.4683544303798,4.006294821826296,0.08084297477475919,DHX36KO,intron1,16000
6,-1746.8354430379748,4.011124512615813,0.07979020249781107,DHX36KO,intron1,16000
7,-1696.2025316455697,4.001811215358155,0.0816406910582026,DHX36KO,intron1,16000
8,-1645.5696202531644,4.009074342770898,0.08423462835828632,DHX36KO,intron1,16000
9,-1594.9367088607596,4.026122185486653,0.08646183012115388,DHX36KO,intron1,16000
10,-1544.3037974683543,4.0395056865693215,0.08764968752967502,DHX36KO,intron1,16000
11,-1493.6708860759495,4.0375406741985564,0.08832262164787835,DHX36KO,intron1,16000
12,-1443.0379746835442,4.038053362901345,0.08744045949446072,DHX36KO,intron1,16000
13,-1392.4050632911392,4.030789229251621,0.08448548028683402,DHX36KO,intron1,16000
14,-1341.7721518987341,4.028582970947922,0.08217499723127433,DHX36KO,intron1,16000
15,-1291.139240506329,4.021271984814792,0.0793797394119819,DHX36KO,intron1,16000
16,-1240.506329113924,4.0150147938796446,0.07729093068995636,DHX36KO,intron1,16000
17,-1189.873417721519,4.016748845338434,0.07635264514267555,DHX36KO,intron1,16000
18,-1139.240506329114,4.048714045825544,0.07725681897954288,DHX36KO,intron1,16000
19,-1088.607594936709,4.066294778129648,0.0785035770088767,DHX36KO,intron1,16000
20,-1037.9746835443038,4.090425726447179,0.08010235496056253,DHX36KO,intron1,16000
21,-987.3417721518988,4.090261817305316,0.08008770114904346,DHX36KO,intron1,16000
22,-936.7088607594937,4.102838410390768,0.08000043673364113,DHX36KO,intron1,16000
23,-886.0759493670887,4.106046754799965,0.08055869500808426,DHX36KO,intron1,16000
24,-835.4430379746836,4.097754743140629,0.08115254705721653,DHX36KO,intron1,16000
25,-784.8101265822784,4.095993478200338,0.08209748899472992,DHX36KO,intron1,16000
26,-734.1772151898733,4.095181005940483,0.08243388303505653,DHX36KO,intron1,16000
27,-683.5443037974683,4.093887498247194,0.08171919108030674,DHX36KO,intron1,16000
28,-632.9113924050632,4.081629340929869,0.07972978497787073,DHX36KO,intron1,16000
29,-582.2784810126582,4.060473026139292,0.07727858594327187,DHX36KO,intron1,16000
30,-531.6455696202531,4.039106433021951,0.07526706600146255,DHX36KO,intron1,16000
31,-481.0126582278481,4.046305641204189,0.07632271706435817,DHX36KO,intron1,16000
32,-430.37974683544303,4.0606638975460845,0.07814745747877093,DHX36KO,intron1,16000
33,-379.746835443038,4.058616545391472,0.07913046518698284,DHX36KO,intron1,16000
34,-329.11392405063293,4.039174089735255,0.0799048523185471,DHX36KO,intron1,16000
35,-278.4810126582279,4.0127715078459145,0.080904888464661,DHX36KO,intron1,16000
36,-227.84810126582283,4.006960898678443,0.08119617116634997,DHX36KO,intron1,16000
37,-177.21518987341778,3.990492299162908,0.08026433772982246,DHX36KO,intron1,16000
38,-126.58227848101274,3.972085261233735,0.07751445073899371,DHX36KO,intron1,16000
39,-75.94936708860769,3.947610474956515,0.07539021026530238,DHX36KO,intron1,16000
40,-25.316455696202638,3.923405295904026,0.07453830069617123,DHX36KO,intron1,16000
41,25.31645569620241,3.9124028177150674,0.07496660890981986,DHX36KO,intron1,16000
42,75.94936708860769,3.9056419536850733,0.07618860339066133,DHX36KO,intron1,16000
43,126.58227848101251,3.8813662770543154,0.07450422167294468,DHX36KO,intron1,16000
44,177.21518987341778,3.891237879924707,0.07288179234250017,DHX36KO,intron1,16000
45,227.8481012658226,3.9007283470708307,0.07309893507071197,DHX36KO,intron1,16000
46,278.4810126582279,3.901674468443966,0.0747725505799586,DHX36KO,intron1,16000
47,329.1139240506327,3.9075628348179645,0.07569261586276158,DHX36KO,intron1,16000
48,379.746835443038,3.9048483713853743,0.07515851127823465,DHX36KO,intron1,16000
49,430.37974683544326,3.89894911140109,0.07596349492454095,DHX36KO,intron1,16000
50,481.0126582278481,3.8789032271969286,0.0751300606058321,DHX36KO,intron1,16000
51,531.6455696202534,3.886846430727272,0.07548910583235638,DHX36KO,intron1,16000
52,582.2784810126582,3.899911887384143,0.0776630152327865,DHX36KO,intron1,16000
53,632.9113924050635,3.8923095439113413,0.07855675557881632,DHX36KO,intron1,16000
54,683.5443037974683,3.8630717072312954,0.07681825529502978,DHX36KO,intron1,16000
55,734.1772151898736,3.8275942867057577,0.07441927086528206,DHX36KO,intron1,16000
56,784.8101265822784,3.804679333923318,0.0739057416465093,DHX36KO,intron1,16000
57,835.4430379746836,3.7672187278563176,0.07276915915419067,DHX36KO,intron1,16000
58,886.0759493670885,3.7264632233538784,0.07083652218463116,DHX36KO,intron1,16000
59,936.7088607594937,3.717700401720282,0.0690210801498648,DHX36KO,intron1,16000
60,987.3417721518986,3.7267395053033257,0.0677619507985072,DHX36KO,intron1,16000
61,1037.9746835443038,3.728678054128254,0.06709759521883593,DHX36KO,intron1,16000
62,1088.6075949367087,3.744278096182618,0.06789617747297241,DHX36KO,intron1,16000
63,1139.240506329114,3.753457175427361,0.06878891439259373,DHX36KO,intron1,16000
64,1189.8734177215188,3.7634087136178005,0.06945781606728457,DHX36KO,intron1,16000
65,1240.506329113924,3.7753266498545406,0.06991104034668404,DHX36KO,intron1,16000
66,1291.1392405063293,3.7937369633050095,0.0701378377738379,DHX36KO,intron1,16000
67,1341.7721518987341,3.796284202250056,0.07076530150787466,DHX36KO,intron1,16000
68,1392.4050632911394,3.799464422350362,0.07103190821310675,DHX36KO,intron1,16000
69,1443.0379746835442,3.7946610771642155,0.07043508480236006,DHX36KO,intron1,16000
70,1493.6708860759495,3.7906281034587264,0.07046845285773837,DHX36KO,intron1,16000
71,1544.3037974683543,3.7892567160635102,0.07085028116003957,DHX36KO,intron1,16000
72,1594.9367088607596,3.7917674559315007,0.07460584994449174,DHX36KO,intron1,16000
73,1645.5696202531644,3.7842282874550586,0.07933396660451679,DHX36KO,intron1,16000
74,1696.2025316455697,3.7783167376649907,0.08250680617253484,DHX36KO,intron1,16000
75,1746.8354430379745,3.784339605947614,0.08339551157020092,DHX36KO,intron1,16000
76,1797.4683544303798,3.784822305246894,0.08096363710833981,DHX36KO,intron1,16000
77,1848.1012658227846,3.7859492477927756,0.0797523205185009,DHX36KO,intron1,16000
78,1898.73417721519,3.801690273635639,0.07775607274691998,DHX36KO,intron1,16000
79,1949.3670886075947,3.8078862765279755,0.07456517507947515,DHX36KO,intron1,16000
80,2000,3.82432926884747,0.07272799487927648,DHX36KO,intron1,16000
1,-2000,3.422419291664935,0.057300854137266016,DHX36KO,enhancer,16000
2,-1949.367088607595,3.407010989851165,0.05638602519186113,DHX36KO,enhancer,16000
3,-1898.73417721519,3.3861169771829327,0.055316402342938005,DHX36KO,enhancer,16000
4,-1848.1012658227849,3.36605034715585,0.05360239174467429,DHX36KO,enhancer,16000
5,-1797.4683544303798,3.3393821887466264,0.051585812467639915,DHX36KO,enhancer,16000
6,-1746.8354430379748,3.3153684871314595,0.05042877225349265,DHX36KO,enhancer,16000
7,-1696.2025316455697,3.3140328211269123,0.05110463509148245,DHX36KO,enhancer,16000
8,-1645.5696202531644,3.3336019051451493,0.05368467802925875,DHX36KO,enhancer,16000
9,-1594.9367088607596,3.363186135620154,0.056490234327163845,DHX36KO,enhancer,16000
10,-1544.3037974683543,3.370805172856108,0.058351009376613715,DHX36KO,enhancer,16000
11,-1493.6708860759495,3.3883560411754674,0.060107694864532484,DHX36KO,enhancer,16000
12,-1443.0379746835442,3.4137400589494855,0.06231792479272513,DHX36KO,enhancer,16000
13,-1392.4050632911392,3.4495357846738566,0.06419751470032271,DHX36KO,enhancer,16000
14,-1341.7721518987341,3.479013911235533,0.06443930510220891,DHX36KO,enhancer,16000
15,-1291.139240506329,3.4821996367180237,0.0625105166280565,DHX36KO,enhancer,16000
16,-1240.506329113924,3.493181074647237,0.0612422385840561,DHX36KO,enhancer,16000
17,-1189.873417721519,3.4877240427613447,0.05980573706515125,DHX36KO,enhancer,16000
18,-1139.240506329114,3.4844705873663306,0.05961527661233814,DHX36KO,enhancer,16000
19,-1088.607594936709,3.4593592020052046,0.05955470862643608,DHX36KO,enhancer,16000
20,-1037.9746835443038,3.4507375850846884,0.05851800955172553,DHX36KO,enhancer,16000
21,-987.3417721518988,3.4550064244229963,0.0568811980520482,DHX36KO,enhancer,16000
22,-936.7088607594937,3.43893646160677,0.056394742457954665,DHX36KO,enhancer,16000
23,-886.0759493670887,3.4405443651247674,0.05663975383210445,DHX36KO,enhancer,16000
24,-835.4430379746836,3.453954615399804,0.05838874620074974,DHX36KO,enhancer,16000
25,-784.8101265822784,3.4792277758911347,0.05988076152711479,DHX36KO,enhancer,16000
26,-734.1772151898733,3.496094202833064,0.05962014897583286,DHX36KO,enhancer,16000
27,-683.5443037974683,3.4936221546937096,0.05849593006670465,DHX36KO,enhancer,16000
28,-632.9113924050632,3.5076851800141338,0.05777341857304002,DHX36KO,enhancer,16000
29,-582.2784810126582,3.5342720367294276,0.05774660885952408,DHX36KO,enhancer,16000
30,-531.6455696202531,3.552665106838957,0.05855197282391151,DHX36KO,enhancer,16000
31,-481.0126582278481,3.5785641675723894,0.05965592170624281,DHX36KO,enhancer,16000
32,-430.37974683544303,3.5869558436468414,0.06032324026670203,DHX36KO,enhancer,16000
33,-379.746835443038,3.595155966198735,0.06159611770360222,DHX36KO,enhancer,16000
34,-329.11392405063293,3.61190000631116,0.06308037033093522,DHX36KO,enhancer,16000
35,-278.4810126582279,3.635092019248909,0.06356930075479868,DHX36KO,enhancer,16000
36,-227.84810126582283,3.6290975437507864,0.0638726296832699,DHX36KO,enhancer,16000
37,-177.21518987341778,3.6363580927975163,0.06446017660444925,DHX36KO,enhancer,16000
38,-126.58227848101274,3.651934902983177,0.06440586877965669,DHX36KO,enhancer,16000
39,-75.94936708860769,3.6568220221580527,0.06384916059480251,DHX36KO,enhancer,16000
40,-25.316455696202638,3.6642047056095173,0.06406982755654891,DHX36KO,enhancer,16000
41,25.31645569620241,3.647603471540889,0.0637202258941965,DHX36KO,enhancer,16000
42,75.94936708860769,3.6152830675680803,0.06451710997612091,DHX36KO,enhancer,16000
43,126.58227848101251,3.5866409566156547,0.06438220582925641,DHX36KO,enhancer,16000
44,177.21518987341778,3.5666478354773266,0.06533578528577702,DHX36KO,enhancer,16000
45,227.8481012658226,3.558430917143193,0.06634713125724909,DHX36KO,enhancer,16000
