genotype,panel,median_pos,median_neg,median_random,wilcox_p,cliffs_delta,n_pos,n_neg
WT,R-loop by G4 status,0.8801927979559331,0.4393340492802476,0.6463630453852995,0,0.37045083271662427,9573,14910
WT,G4 by R-loop status,1.5925191893995052,1.1015445845278733,0.9439993175856164,0,0.40827154868736537,10428,14055
DHX36KO,R-loop by G4 status,0.9509908969489728,0.4921384677164006,0.6517534051378993,0,0.4000525525099481,9573,14910
DHX36KO,G4 by R-loop status,1.6580694209200895,1.1375583087427592,0.9454912297330995,0,0.39386629353666636,10428,14055
FANCJKO,R-loop by G4 status,0.910868305446611,0.4770100086154035,0.6709959378061647,0,0.37707317059500367,9573,14910
FANCJKO,G4 by R-loop status,1.4872562882439333,1.0293919200016108,0.9591440168794094,0,0.44188142724408475,10428,14055
dKO,R-loop by G4 status,1.036867747941953,0.5401728610554406,0.7060632338335144,0,0.4047482709551644,9573,14910
dKO,G4 by R-loop status,1.7612581616119853,1.1891208466701693,0.9400674714249595,0,0.3771238723645407,10428,14055
