bin,position,mean,sem,unit,ko,signal_geno,topology,direction,n_5utr,column
43,126.58227848101251,11.190059351650595,0.9187011519063815,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
44,177.21518987341778,10.796718385350635,0.8242541711030386,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
45,227.8481012658226,10.132966718640244,0.7675943422394231,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
46,278.4810126582279,9.56927145257749,0.7771579775306771,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
47,329.1139240506327,9.016629567363806,0.7630517798057721,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
48,379.746835443038,8.653506639265874,0.7525356129001406,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
49,430.37974683544326,8.385761634252225,0.75140869378059,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
50,481.0126582278481,8.087628210081691,0.7381714092934106,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
51,531.6455696202534,7.771885238694866,0.7240440948887351,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
52,582.2784810126582,7.39556470625303,0.7015696761184591,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
53,632.9113924050635,6.942864163111525,0.664329840205059,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
54,683.5443037974683,6.67564408310115,0.6499088444682759,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
55,734.1772151898736,6.438734090495528,0.6280534279831667,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
56,784.8101265822784,6.17992743972031,0.6029290287348901,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
57,835.4430379746836,5.952189993668718,0.5691920550965327,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
58,886.0759493670885,5.5995816543896995,0.5245362390630678,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
59,936.7088607594937,5.187846109136503,0.4808846552620332,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
60,987.3417721518986,4.8500528824008695,0.43639343359637556,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
61,1037.9746835443038,4.4059692268064845,0.37119458668000166,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
