category,n_unclassified,n_classified,frac_unclassified,frac_classified,log2_OR,p,padj
DNA,580,4296,0.03415783274440518,0.03282822493753009,0.06030137044482452,0.360969788316316,0.360969788316316
LINE,5191,24323,0.30571260306242637,0.1858661348127431,0.9477000263286867,1.7618891972525222e-269,1.58570027752727e-268
Low_complexity,508,3167,0.029917550058892815,0.02420088183825833,0.31556261108384226,1.1927068082528447e-5,1.5334801820393717e-5
LTR,2351,30028,0.1384570082449941,0.22946134507079924,-0.8896278994014521,1.4560809987151834e-175,4.36824299614555e-175
none,3836,20274,0.2259128386336867,0.15492537997753375,0.6708795687024371,1.2787576847560123e-113,2.8772047907010277e-113
Other,89,1096,0.005241460541813898,0.008375170980338216,-0.673314564033571,6.931511389722445e-6,1.0397267084583668e-5
Satellite,71,480,0.0041813898704358065,0.003667958093578781,0.1983341182346753,0.31490263009188546,0.35426545885337113
Simple_repeat,1126,7528,0.06631330977620731,0.05752580943429388,0.21910869589054716,6.225231808555333e-6,1.0397267084583668e-5
SINE,3228,39671,0.19010600706713782,0.30314909485492464,-0.8899457415208489,5.371669983761444e-220,2.41725149269265e-219
