bin,position,mean,sem,genotype,group
39,-75.94936708860769,7.939353680993787,0.712834349521022,DHX36KO,antiparallel
40,-25.316455696202638,8.138692287351361,0.7356152841864688,DHX36KO,antiparallel
41,25.31645569620241,8.351710318540459,0.7450586519872372,DHX36KO,antiparallel
42,75.94936708860769,8.282601654642257,0.7319190358330566,DHX36KO,antiparallel
43,126.58227848101251,8.036076865367036,0.6986362734624463,DHX36KO,antiparallel
44,177.21518987341778,7.708253349861695,0.640743383873136,DHX36KO,antiparallel
45,227.8481012658226,7.3980163754301875,0.5710736072921484,DHX36KO,antiparallel
46,278.4810126582279,7.093750129055621,0.5031951094201349,DHX36KO,antiparallel
47,329.1139240506327,6.963422503305312,0.46953658122395503,DHX36KO,antiparallel
48,379.746835443038,6.98536381721378,0.45022198615776526,DHX36KO,antiparallel
49,430.37974683544326,6.993818570772807,0.4590677452601154,DHX36KO,antiparallel
50,481.0126582278481,6.9628803658639615,0.460260921800982,DHX36KO,antiparallel
51,531.6455696202534,6.852750097803809,0.4549020085701298,DHX36KO,antiparallel
52,582.2784810126582,6.767122445805156,0.4582181589404401,DHX36KO,antiparallel
53,632.9113924050635,6.7072476465298765,0.45848427987606044,DHX36KO,antiparallel
54,683.5443037974683,6.57599547848654,0.4434256219307369,DHX36KO,antiparallel
55,734.1772151898736,6.54513013009171,0.4306627377537727,DHX36KO,antiparallel
56,784.8101265822784,6.6388565805788655,0.4478665944442661,DHX36KO,antiparallel
57,835.4430379746836,6.769807483622091,0.4758519061948828,DHX36KO,antiparallel
58,886.0759493670885,6.953889959096909,0.514333989324494,DHX36KO,antiparallel
59,936.7088607594937,7.064552946214059,0.5224584194225249,DHX36KO,antiparallel
60,987.3417721518986,7.19875610675622,0.51167433600274,DHX36KO,antiparallel
61,1037.9746835443038,7.244241849045255,0.4859872206451509,DHX36KO,antiparallel
62,1088.6075949367087,7.214595833395251,0.45950011474281177,DHX36KO,antiparallel
63,1139.240506329114,7.073465386573355,0.42859517402428854,DHX36KO,antiparallel
64,1189.8734177215188,6.904161248060008,0.40102787556933994,DHX36KO,antiparallel
65,1240.506329113924,6.831487749441346,0.4042936672839533,DHX36KO,antiparallel
66,1291.1392405063293,6.84572754613084,0.4089490512317155,DHX36KO,antiparallel
67,1341.7721518987341,6.9786962982089955,0.42789485367692964,DHX36KO,antiparallel
68,1392.4050632911394,6.905329339635906,0.4472379711996912,DHX36KO,antiparallel
69,1443.0379746835442,6.926415412611036,0.48188361434348825,DHX36KO,antiparallel
70,1493.6708860759495,6.997475198790801,0.5221665929385754,DHX36KO,antiparallel
71,1544.3037974683543,7.099869223441651,0.6211302681128424,DHX36KO,antiparallel
72,1594.9367088607596,7.156130421671701,0.7215540959734454,DHX36KO,antiparallel
73,1645.5696202531644,7.197381877660751,0.7509891916510714,DHX36KO,antiparallel
74,1696.2025316455697,7.0937514575963,0.7078674230036613,DHX36KO,antiparallel
75,1746.8354430379745,6.946419314764032,0.6546823691955306,DHX36KO,antiparallel
76,1797.4683544303798,6.841413022652194,0.6399362533232047,DHX36KO,antiparallel
77,1848.1012658227846,6.699154682149935,0.6234020660056985,DHX36KO,antiparallel
78,1898.73417721519,6.579713974730885,0.5882629716781103,DHX36KO,antiparallel
79,1949.3670886075947,6.453405207947119,0.5365093776488425,DHX36KO,antiparallel
80,2000,6.35677433624315,0.5179929274337006,DHX36KO,antiparallel
1,-2000,7.0688095588489865,0.46888389038161216,DHX36KO,hybrid
2,-1949.367088607595,7.24945207101851,0.49898337257721237,DHX36KO,hybrid
3,-1898.73417721519,7.374522070476273,0.5122687002204468,DHX36KO,hybrid
4,-1848.1012658227849,7.369859217867662,0.5200975533612519,DHX36KO,hybrid
