bin,position,mean,sem,genotype,group
40,-25.316455696202638,5.301008855812586,0.5373373666013607,WT,antiparallel
41,25.31645569620241,5.329765642596715,0.5353615349944131,WT,antiparallel
42,75.94936708860769,5.3340393048673125,0.5393319454043197,WT,antiparallel
43,126.58227848101251,5.186545929548159,0.5128618357926236,WT,antiparallel
44,177.21518987341778,4.9949809409480785,0.46470196159805,WT,antiparallel
45,227.8481012658226,4.755126860756186,0.39427294392515266,WT,antiparallel
46,278.4810126582279,4.4713970096241775,0.33326977536374836,WT,antiparallel
47,329.1139240506327,4.30083313081988,0.3081836858336707,WT,antiparallel
48,379.746835443038,4.30470885288656,0.3000573815008033,WT,antiparallel
49,430.37974683544326,4.346722664595837,0.3067517126993457,WT,antiparallel
50,481.0126582278481,4.3086125128031965,0.30371890279229863,WT,antiparallel
51,531.6455696202534,4.211970588120655,0.2895098510480537,WT,antiparallel
52,582.2784810126582,4.16283240049514,0.2880125192712234,WT,antiparallel
53,632.9113924050635,4.087688594540554,0.28773323259285954,WT,antiparallel
54,683.5443037974683,3.9535686880391627,0.2772043064952292,WT,antiparallel
55,734.1772151898736,3.91070915614669,0.27091197528583116,WT,antiparallel
56,784.8101265822784,3.9954168313071503,0.2903447972530084,WT,antiparallel
57,835.4430379746836,4.112449596076463,0.31644713260042945,WT,antiparallel
58,886.0759493670885,4.212083114437796,0.35017885676276955,WT,antiparallel
59,936.7088607594937,4.288657476284017,0.3527607614973123,WT,antiparallel
60,987.3417721518986,4.320917646040371,0.343589701988993,WT,antiparallel
61,1037.9746835443038,4.274664128958289,0.3131564624055179,WT,antiparallel
62,1088.6075949367087,4.273102654033632,0.2986365175200599,WT,antiparallel
63,1139.240506329114,4.234874459134999,0.28264546931587786,WT,antiparallel
64,1189.8734177215188,4.246305519703016,0.26761522843667135,WT,antiparallel
65,1240.506329113924,4.250122324493987,0.2590891451480108,WT,antiparallel
66,1291.1392405063293,4.323821249123236,0.26432458547082116,WT,antiparallel
67,1341.7721518987341,4.402467713819807,0.2749791742098516,WT,antiparallel
68,1392.4050632911394,4.3288609409735574,0.28716953004388535,WT,antiparallel
69,1443.0379746835442,4.319833318557312,0.3165048498309208,WT,antiparallel
70,1493.6708860759495,4.351988989484844,0.3481724296238999,WT,antiparallel
71,1544.3037974683543,4.431036275431884,0.4104618792597894,WT,antiparallel
72,1594.9367088607596,4.506037417704786,0.47323551927113094,WT,antiparallel
73,1645.5696202531644,4.464421333114899,0.4888219028311394,WT,antiparallel
74,1696.2025316455697,4.358227668834563,0.46299678264722377,WT,antiparallel
75,1746.8354430379745,4.295260639634298,0.4359971179424245,WT,antiparallel
76,1797.4683544303798,4.3167455066839855,0.4604965940404718,WT,antiparallel
77,1848.1012658227846,4.2487631239120045,0.4497233889737237,WT,antiparallel
78,1898.73417721519,4.166768642991337,0.4149420258097446,WT,antiparallel
79,1949.3670886075947,4.045493872805022,0.36546221025705783,WT,antiparallel
80,2000,3.9857828872761325,0.35422745281742735,WT,antiparallel
1,-2000,4.410949514743345,0.33410168738693463,WT,hybrid
2,-1949.367088607595,4.451887972292767,0.34843778724646324,WT,hybrid
3,-1898.73417721519,4.552114446126762,0.35853031109288835,WT,hybrid
4,-1848.1012658227849,4.640044653482086,0.36560365539174244,WT,hybrid
5,-1797.4683544303798,4.611516254273101,0.35233474787346114,WT,hybrid
6,-1746.8354430379748,4.562624302933623,0.3356564382088713,WT,hybrid
7,-1696.2025316455697,4.511411098503502,0.31881024958600385,WT,hybrid
8,-1645.5696202531644,4.432676016812412,0.2986708540119347,WT,hybrid
9,-1594.9367088607596,4.309914864466268,0.2795905966108519,WT,hybrid
10,-1544.3037974683543,4.195580252325081,0.2531750145020624,WT,hybrid
11,-1493.6708860759495,4.0552636670559314,0.22797582448588616,WT,hybrid
12,-1443.0379746835442,3.930878447375993,0.211455304353161,WT,hybrid
13,-1392.4050632911392,3.865060610745474,0.20881942740335926,WT,hybrid
14,-1341.7721518987341,3.831754767144287,0.21168075193593422,WT,hybrid
15,-1291.139240506329,3.7803199248522406,0.21459675338992593,WT,hybrid
16,-1240.506329113924,3.7395777069383414,0.21394346521464813,WT,hybrid
17,-1189.873417721519,3.6858529363324024,0.20070738662182244,WT,hybrid
18,-1139.240506329114,3.6624445992931345,0.19620897666542877,WT,hybrid
19,-1088.607594936709,3.669483985288945,0.18919869962934008,WT,hybrid
20,-1037.9746835443038,3.670868689760401,0.1770767985052231,WT,hybrid
21,-987.3417721518988,3.705203951077034,0.18489692610047437,WT,hybrid
22,-936.7088607594937,3.793531184262878,0.19263377538530066,WT,hybrid
23,-886.0759493670887,3.8568688635292006,0.19565935744378393,WT,hybrid
24,-835.4430379746836,3.948837725817711,0.1995470395212291,WT,hybrid
25,-784.8101265822784,4.093520872944235,0.20970738428589034,WT,hybrid
26,-734.1772151898733,4.2831671193010905,0.22769968053800826,WT,hybrid
27,-683.5443037974683,4.446489951715529,0.24434934827409918,WT,hybrid
28,-632.9113924050632,4.635026669091684,0.26719706582268316,WT,hybrid
29,-582.2784810126582,4.8060971532406365,0.2880595669444968,WT,hybrid
30,-531.6455696202531,5.062407235575137,0.31566817865116403,WT,hybrid
31,-481.0126582278481,5.349926559634464,0.36352016762140477,WT,hybrid
32,-430.37974683544303,5.637708394838757,0.42705263835187557,WT,hybrid
33,-379.746835443038,5.972611442014249,0.49579841989593676,WT,hybrid
34,-329.11392405063293,6.376859955485619,0.5544687162345797,WT,hybrid
35,-278.4810126582279,6.832214541882232,0.6237389245785742,WT,hybrid
36,-227.84810126582283,7.163272071627308,0.663173908877464,WT,hybrid
37,-177.21518987341778,7.406214005767175,0.6727526869252592,WT,hybrid
38,-126.58227848101274,7.585492846326009,0.6506456319362203,WT,hybrid
39,-75.94936708860769,7.734670257541226,0.623552949447581,WT,hybrid
40,-25.316455696202638,7.800047719518593,0.5959601961543501,WT,hybrid
41,25.31645569620241,7.712944396084817,0.565154157676328,WT,hybrid
42,75.94936708860769,7.461938252965288,0.5367048171721894,WT,hybrid
43,126.58227848101251,7.239787902208673,0.5137724606350201,WT,hybrid
44,177.21518987341778,6.904584358351142,0.47536652230612014,WT,hybrid
45,227.8481012658226,6.5643264022856,0.43449448697596155,WT,hybrid
46,278.4810126582279,6.162619746646755,0.3933529470613733,WT,hybrid
47,329.1139240506327,5.868479597861983,0.3708967408420061,WT,hybrid
48,379.746835443038,5.644474374094778,0.34901661349413543,WT,hybrid
49,430.37974683544326,5.554331626117355,0.33673011289159965,WT,hybrid
50,481.0126582278481,5.488421119526854,0.3412374652677499,WT,hybrid
51,531.6455696202534,5.432112541435792,0.3613698477421752,WT,hybrid
52,582.2784810126582,5.401724816254064,0.3800037828932381,WT,hybrid
53,632.9113924050635,5.3554958772730705,0.4091265130281875,WT,hybrid
54,683.5443037974683,5.344381616336923,0.4514495897452672,WT,hybrid
55,734.1772151898736,5.271502852144267,0.49080006275936233,WT,hybrid
56,784.8101265822784,5.208708026634072,0.5155404051385428,WT,hybrid
57,835.4430379746836,5.157641357128832,0.5134945033137427,WT,hybrid
58,886.0759493670885,5.133185472552667,0.4947449072605962,WT,hybrid
59,936.7088607594937,5.130360576311747,0.46389981546704157,WT,hybrid
60,987.3417721518986,5.130215915253363,0.42351167589809813,WT,hybrid
61,1037.9746835443038,5.185534262657166,0.42324157958966274,WT,hybrid
62,1088.6075949367087,5.158476633360086,0.4226746311916363,WT,hybrid
63,1139.240506329114,5.110260406509421,0.41878028014045116,WT,hybrid
64,1189.8734177215188,5.1825185061350805,0.451039303130592,WT,hybrid
65,1240.506329113924,5.3359450031897735,0.467099705546001,WT,hybrid
66,1291.1392405063293,5.388671475696364,0.4628091949856027,WT,hybrid
67,1341.7721518987341,5.432197404628958,0.45066656635405,WT,hybrid
68,1392.4050632911394,5.313188566836671,0.4205179558938866,WT,hybrid
69,1443.0379746835442,5.235366522915244,0.3975985544277767,WT,hybrid
70,1493.6708860759495,5.1996518984823465,0.39117297472305174,WT,hybrid
71,1544.3037974683543,5.150639493920982,0.38284031837293947,WT,hybrid
72,1594.9367088607596,5.039244741718724,0.37232123315107885,WT,hybrid
73,1645.5696202531644,4.8741160669231105,0.3447719517658628,WT,hybrid
74,1696.2025316455697,4.880327019258758,0.3292628280424543,WT,hybrid
75,1746.8354430379745,4.8030570770245395,0.31859226904806753,WT,hybrid
76,1797.4683544303798,4.800192091601378,0.3331523671767437,WT,hybrid
77,1848.1012658227846,4.817693454832258,0.3480708765124987,WT,hybrid
78,1898.73417721519,4.825386479837732,0.35718492663101875,WT,hybrid
79,1949.3670886075947,4.812645853109151,0.36563372743714434,WT,hybrid
80,2000,4.761550340506087,0.3591544967020363,WT,hybrid
1,-2000,1.0883618584382424,0.010373323397542322,WT,none
2,-1949.367088607595,1.079287881411121,0.010195326013882143,WT,none
3,-1898.73417721519,1.0677776106293602,0.009977406992708982,WT,none
4,-1848.1012658227849,1.0657250791707935,0.00997330357739665,WT,none
5,-1797.4683544303798,1.059970908959013,0.010031214164515714,WT,none
6,-1746.8354430379748,1.0573308109793205,0.010075151280057343,WT,none
7,-1696.2025316455697,1.0500019036473691,0.01002247086405938,WT,none
8,-1645.5696202531644,1.046121184277137,0.009943877515791535,WT,none
9,-1594.9367088607596,1.0465811398484715,0.009880384792140038,WT,none
10,-1544.3037974683543,1.0506429854556594,0.009957856735894628,WT,none
11,-1493.6708860759495,1.0592120992206575,0.010051339707978875,WT,none
12,-1443.0379746835442,1.0645575228674347,0.010094186119381262,WT,none
13,-1392.4050632911392,1.0601981404363623,0.010089632886802468,WT,none
14,-1341.7721518987341,1.0562914491833038,0.010051544488000889,WT,none
15,-1291.139240506329,1.0441269216423827,0.009921876551332025,WT,none
16,-1240.506329113924,1.0383041975397624,0.009879269422792398,WT,none
17,-1189.873417721519,1.0381419918267962,0.009860608225796605,WT,none
18,-1139.240506329114,1.0429281112965527,0.009907593254578073,WT,none
19,-1088.607594936709,1.0509544813816774,0.009986746377998275,WT,none
20,-1037.9746835443038,1.0554708775752635,0.010008901276413282,WT,none
21,-987.3417721518988,1.0633456677514408,0.010106788945118789,WT,none
22,-936.7088607594937,1.063933978188474,0.010097035189786477,WT,none
23,-886.0759493670887,1.0655512896742452,0.010166408436337716,WT,none
24,-835.4430379746836,1.0602384842356887,0.010173446827342862,WT,none
25,-784.8101265822784,1.0502673561026936,0.010125338455174325,WT,none
26,-734.1772151898733,1.047619361241872,0.01007053260238616,WT,none
27,-683.5443037974683,1.0457728619189741,0.009969418399921104,WT,none
28,-632.9113924050632,1.0470152911196036,0.009951270170603007,WT,none
29,-582.2784810126582,1.04930463604155,0.009992466798601728,WT,none
30,-531.6455696202531,1.0521510548155166,0.010007974889791856,WT,none
31,-481.0126582278481,1.051276789348718,0.009947057884705426,WT,none
32,-430.37974683544303,1.0473142581174368,0.0098834403618965,WT,none
33,-379.746835443038,1.0411564476006354,0.009834392744706905,WT,none
34,-329.11392405063293,1.0364577179817835,0.009781755388142282,WT,none
35,-278.4810126582279,1.0393266713927893,0.009815281353097241,WT,none
36,-227.84810126582283,1.0440664664168506,0.009848277681863188,WT,none
37,-177.21518987341778,1.0485160437793397,0.009880828664562715,WT,none
38,-126.58227848101274,1.0539464129409735,0.009941227467923117,WT,none
39,-75.94936708860769,1.0563463222315959,0.01002110001223244,WT,none
40,-25.316455696202638,1.0655534938577707,0.010131040420406053,WT,none
41,25.31645569620241,1.0648242908430083,0.010089546462096565,WT,none
42,75.94936708860769,1.0640246698586642,0.010071069867160104,WT,none
43,126.58227848101251,1.0544922821275524,0.009971474479390927,WT,none
44,177.21518987341778,1.0546176340896116,0.01001395080432457,WT,none
45,227.8481012658226,1.0563143546213383,0.010001708701238723,WT,none
46,278.4810126582279,1.057406798863739,0.010016213420639583,WT,none
47,329.1139240506327,1.0514347885685025,0.009983895301338246,WT,none
48,379.746835443038,1.0430124670645262,0.00992595736932668,WT,none
49,430.37974683544326,1.0369130460588247,0.009930565194272035,WT,none
50,481.0126582278481,1.0258556979094975,0.009830485319864368,WT,none
51,531.6455696202534,1.0290684452813998,0.009819088115838844,WT,none
52,582.2784810126582,1.0321994008033004,0.009871362224025917,WT,none
53,632.9113924050635,1.0395124551225219,0.009973791263690445,WT,none
54,683.5443037974683,1.040672534403364,0.01002288252969658,WT,none
55,734.1772151898736,1.0403135236511964,0.009971476070654657,WT,none
56,784.8101265822784,1.0368547191244784,0.009895778016819713,WT,none
57,835.4430379746836,1.042912999852573,0.009966404869896497,WT,none
58,886.0759493670885,1.0442263018152544,0.01004714979655436,WT,none
59,936.7088607594937,1.0463995175666827,0.0100354415890972,WT,none
60,987.3417721518986,1.0436852559523653,0.009931479603843694,WT,none
61,1037.9746835443038,1.0426863797845036,0.009866220529573394,WT,none
62,1088.6075949367087,1.0445195672367729,0.009897159712673433,WT,none
63,1139.240506329114,1.045214312449096,0.009909592620940072,WT,none
64,1189.8734177215188,1.0443490772052033,0.009951638285069977,WT,none
65,1240.506329113924,1.0488674453900433,0.009973294794746422,WT,none
66,1291.1392405063293,1.0524643802006293,0.009949024440973517,WT,none
67,1341.7721518987341,1.055083634728885,0.010029700238518235,WT,none
68,1392.4050632911394,1.0554507510811741,0.01003248476275659,WT,none
69,1443.0379746835442,1.055948648587588,0.010039648183618197,WT,none
70,1493.6708860759495,1.0527250677152302,0.010033614951010569,WT,none
71,1544.3037974683543,1.0542407591134573,0.010027150867566255,WT,none
72,1594.9367088607596,1.0586295294700299,0.01008569674906042,WT,none
73,1645.5696202531644,1.0610689816032064,0.010151828268478606,WT,none
74,1696.2025316455697,1.0600465245792712,0.010146818115435947,WT,none
75,1746.8354430379745,1.055423543004871,0.010062301489741358,WT,none
76,1797.4683544303798,1.0570571969500107,0.009997123753346288,WT,none
77,1848.1012658227846,1.061336466886566,0.009976850764217709,WT,none
78,1898.73417721519,1.0687565551631146,0.010027435743974314,WT,none
79,1949.3670886075947,1.0709967902292805,0.010127435624966775,WT,none
80,2000,1.0753732464733148,0.010255279866760798,WT,none
1,-2000,6.761603038098575,0.14756140728612255,DHX36KO,parallel
2,-1949.367088607595,6.7695475127677085,0.1453358771396007,DHX36KO,parallel
3,-1898.73417721519,6.776005353103613,0.14261735617472984,DHX36KO,parallel
4,-1848.1012658227849,6.793909532091145,0.1448481627119365,DHX36KO,parallel
5,-1797.4683544303798,6.799721621410165,0.1497453695323553,DHX36KO,parallel
6,-1746.8354430379748,6.821840581537611,0.15471459559442355,DHX36KO,parallel
7,-1696.2025316455697,6.877378296723298,0.15716802110937053,DHX36KO,parallel
8,-1645.5696202531644,6.912294362118755,0.15701588749203155,DHX36KO,parallel
9,-1594.9367088607596,6.9612548645019965,0.15709134454579915,DHX36KO,parallel
10,-1544.3037974683543,6.963494985760482,0.15450952054133896,DHX36KO,parallel
11,-1493.6708860759495,6.979473029456702,0.1534429982312445,DHX36KO,parallel
12,-1443.0379746835442,7.0001444351666136,0.15389091124733173,DHX36KO,parallel
13,-1392.4050632911392,7.019163646847904,0.1566412554992095,DHX36KO,parallel
14,-1341.7721518987341,7.0952597947295,0.1638863984267395,DHX36KO,parallel
15,-1291.139240506329,7.137673714310072,0.1696842781769898,DHX36KO,parallel
16,-1240.506329113924,7.1637446826402345,0.17203756350641491,DHX36KO,parallel
17,-1189.873417721519,7.18479348649023,0.1722264349387705,DHX36KO,parallel
18,-1139.240506329114,7.183469435425167,0.17029373969105102,DHX36KO,parallel
19,-1088.607594936709,7.225414788435555,0.1717075402831576,DHX36KO,parallel
20,-1037.9746835443038,7.2870184205366675,0.1722585071092763,DHX36KO,parallel
21,-987.3417721518988,7.343819035413329,0.1739593236284034,DHX36KO,parallel
22,-936.7088607594937,7.338754866755323,0.1725886848760693,DHX36KO,parallel
23,-886.0759493670887,7.321123489515154,0.1677877862485117,DHX36KO,parallel
24,-835.4430379746836,7.321329099354048,0.16219823530815028,DHX36KO,parallel
25,-784.8101265822784,7.367027330384462,0.15922824367776264,DHX36KO,parallel
26,-734.1772151898733,7.4590518832255155,0.16107992021033285,DHX36KO,parallel
27,-683.5443037974683,7.556849558799053,0.16227897688393916,DHX36KO,parallel
28,-632.9113924050632,7.665869869878614,0.16384736855556742,DHX36KO,parallel
29,-582.2784810126582,7.753768118970041,0.16555997678649476,DHX36KO,parallel
30,-531.6455696202531,7.873987642555198,0.1702825125430505,DHX36KO,parallel
31,-481.0126582278481,8.021155781007572,0.17663937724734063,DHX36KO,parallel
32,-430.37974683544303,8.219799161815665,0.1873323143657949,DHX36KO,parallel
33,-379.746835443038,8.4481190469610965,0.1954446976883458,DHX36KO,parallel
34,-329.11392405063293,8.779594711921952,0.2086538269184366,DHX36KO,parallel
35,-278.4810126582279,9.127312414285534,0.2251986382093228,DHX36KO,parallel
36,-227.84810126582283,9.464835421948743,0.2440225125314626,DHX36KO,parallel
37,-177.21518987341778,9.849941390848837,0.26501027156758544,DHX36KO,parallel
38,-126.58227848101274,10.176654622465998,0.28032696787146966,DHX36KO,parallel
39,-75.94936708860769,10.444767769927823,0.28861739929306196,DHX36KO,parallel
40,-25.316455696202638,10.46816707801453,0.28294496227781324,DHX36KO,parallel
41,25.31645569620241,10.31230484708516,0.2686550864730764,DHX36KO,parallel
42,75.94936708860769,10.100490495461585,0.25180908805256796,DHX36KO,parallel
43,126.58227848101251,9.877896234528471,0.23589298465626868,DHX36KO,parallel
44,177.21518987341778,9.68063389559778,0.22618165060838738,DHX36KO,parallel
45,227.8481012658226,9.386299844353765,0.21583046585450344,DHX36KO,parallel
46,278.4810126582279,9.049714640904591,0.2037283770306477,DHX36KO,parallel
47,329.1139240506327,8.78074753164949,0.19496912944458683,DHX36KO,parallel
48,379.746835443038,8.543112835716217,0.18561264107394185,DHX36KO,parallel
49,430.37974683544326,8.300172729170315,0.17514641467638176,DHX36KO,parallel
50,481.0126582278481,8.07933608524419,0.16847996492088027,DHX36KO,parallel
51,531.6455696202534,7.9103369013947304,0.16815662193974196,DHX36KO,parallel
52,582.2784810126582,7.81303974527851,0.16947317531524514,DHX36KO,parallel
53,632.9113924050635,7.744968571806029,0.16872700261666412,DHX36KO,parallel
54,683.5443037974683,7.639231552319665,0.16625575195637438,DHX36KO,parallel
55,734.1772151898736,7.538770052950745,0.16341639368218075,DHX36KO,parallel
56,784.8101265822784,7.448495781487305,0.1607604709096699,DHX36KO,parallel
57,835.4430379746836,7.410447604424096,0.16080624202398586,DHX36KO,parallel
58,886.0759493670885,7.331354206135999,0.16404328397924892,DHX36KO,parallel
59,936.7088607594937,7.312414448484344,0.17038782971622016,DHX36KO,parallel
60,987.3417721518986,7.292088320884821,0.1740515908805039,DHX36KO,parallel
61,1037.9746835443038,7.261779217164206,0.17619682711913506,DHX36KO,parallel
62,1088.6075949367087,7.211158361799748,0.17513158346299476,DHX36KO,parallel
63,1139.240506329114,7.136271924385715,0.17401700047685012,DHX36KO,parallel
64,1189.8734177215188,7.090438170999094,0.17444750057068495,DHX36KO,parallel
65,1240.506329113924,7.061774259684775,0.1722017941335693,DHX36KO,parallel
66,1291.1392405063293,7.036738834579006,0.16787030901291647,DHX36KO,parallel
67,1341.7721518987341,7.016788796274314,0.16131948227791257,DHX36KO,parallel
68,1392.4050632911394,7.02276274414069,0.15710751177315554,DHX36KO,parallel
69,1443.0379746835442,7.031262126392609,0.158401521863314,DHX36KO,parallel
70,1493.6708860759495,7.001657842393223,0.15938753009050274,DHX36KO,parallel
71,1544.3037974683543,6.974423974574163,0.16038434704513138,DHX36KO,parallel
72,1594.9367088607596,6.888469366796021,0.1608501523546317,DHX36KO,parallel
73,1645.5696202531644,6.8225257229455245,0.15871396057333376,DHX36KO,parallel
74,1696.2025316455697,6.80438590346715,0.15572858938606676,DHX36KO,parallel
75,1746.8354430379745,6.797274239182714,0.15152930603879164,DHX36KO,parallel
76,1797.4683544303798,6.7747640476551805,0.14955867634590936,DHX36KO,parallel
77,1848.1012658227846,6.798319479687062,0.1514901024958204,DHX36KO,parallel
78,1898.73417721519,6.8881721350180865,0.16140087505824108,DHX36KO,parallel
79,1949.3670886075947,6.961366416073362,0.16999472144575337,DHX36KO,parallel
80,2000,6.952028299678397,0.17206165326004635,DHX36KO,parallel
1,-2000,7.840954721453178,0.8032604170785548,DHX36KO,antiparallel
2,-1949.367088607595,7.799945463397609,0.7764859680762757,DHX36KO,antiparallel
3,-1898.73417721519,7.7052485938416195,0.7195074658550603,DHX36KO,antiparallel
4,-1848.1012658227849,7.488977952181403,0.6335852285641113,DHX36KO,antiparallel
5,-1797.4683544303798,7.358830431942916,0.5616074677994954,DHX36KO,antiparallel
6,-1746.8354430379748,7.13158407817907,0.4886112401775086,DHX36KO,antiparallel
7,-1696.2025316455697,7.012958302319939,0.47095273347751,DHX36KO,antiparallel
8,-1645.5696202531644,6.934692945035536,0.47493046136527295,DHX36KO,antiparallel
9,-1594.9367088607596,6.800711880019648,0.4688559886820585,DHX36KO,antiparallel
10,-1544.3037974683543,6.634936142875188,0.46170951340970384,DHX36KO,antiparallel
11,-1493.6708860759495,6.604930484546358,0.4449303058190943,DHX36KO,antiparallel
12,-1443.0379746835442,6.5036618283933665,0.4110798931175655,DHX36KO,antiparallel
13,-1392.4050632911392,6.394612872461774,0.3860016739100319,DHX36KO,antiparallel
14,-1341.7721518987341,6.277913188825199,0.36057025830193173,DHX36KO,antiparallel
15,-1291.139240506329,6.249302764856993,0.351024568548297,DHX36KO,antiparallel
16,-1240.506329113924,6.318791287942905,0.3626364608372325,DHX36KO,antiparallel
17,-1189.873417721519,6.388508526602788,0.3814623131648471,DHX36KO,antiparallel
18,-1139.240506329114,6.353051671744579,0.3937631525854454,DHX36KO,antiparallel
19,-1088.607594936709,6.195410246218022,0.3849732845547638,DHX36KO,antiparallel
20,-1037.9746835443038,6.156683395035825,0.37918312742185833,DHX36KO,antiparallel
21,-987.3417721518988,6.14544117347518,0.36707960475611595,DHX36KO,antiparallel
22,-936.7088607594937,6.20441827664921,0.3673591371779635,DHX36KO,antiparallel
23,-886.0759493670887,6.309159006590867,0.3660718090814527,DHX36KO,antiparallel
24,-835.4430379746836,6.390902551862138,0.3766437325587807,DHX36KO,antiparallel
25,-784.8101265822784,6.393851552117523,0.37236192408767055,DHX36KO,antiparallel
26,-734.1772151898733,6.3267240859797935,0.35636860540919846,DHX36KO,antiparallel
27,-683.5443037974683,6.25999007129432,0.3449320618755321,DHX36KO,antiparallel
28,-632.9113924050632,6.162506117501662,0.34492570675650097,DHX36KO,antiparallel
29,-582.2784810126582,6.074223948947233,0.3439255313360391,DHX36KO,antiparallel
30,-531.6455696202531,5.9934432227575956,0.3507507439567606,DHX36KO,antiparallel
31,-481.0126582278481,6.063055410722002,0.3597157658679157,DHX36KO,antiparallel
32,-430.37974683544303,6.155361752623943,0.38065327621077566,DHX36KO,antiparallel
33,-379.746835443038,6.221834500041174,0.4232688550261005,DHX36KO,antiparallel
34,-329.11392405063293,6.332794797339843,0.47826370570266363,DHX36KO,antiparallel
35,-278.4810126582279,6.680138794375889,0.5449849876276356,DHX36KO,antiparallel
36,-227.84810126582283,7.043562630679477,0.6064018234116634,DHX36KO,antiparallel
37,-177.21518987341778,7.402550558405729,0.6393808380398482,DHX36KO,antiparallel
38,-126.58227848101274,7.66855932732008,0.677775866648736,DHX36KO,antiparallel
