metric,ko,statistic,p_value
spearman_nG4_vs_log_baseMean,NA,0.021668052346628146,0.007759616616399336
kruskal_absLFC_by_bucket,DHX36KO,2.8658807821194614,0.580514890076775
kruskal_absLFC_by_bucket,FANCJKO,4.748002142328357,0.3141446376839465
kruskal_absLFC_by_bucket,dKO,5.226640504108301,0.2648231153801357
