entrez,n_g4,bucket,symbol,baseMean
269693,0,0,Ccdc60,16.91396265410406
269695,1,1,Rnft2,9.263102072923845
26970,0,0,Pla2g2e,4.265140794189744
269700,15,4+,Hectd4,265.4554979246253
269701,2,2,Cfap251,NA
269702,2,2,Mphosph9,156.39907658728228
269704,0,0,Zfp664,242.76884204912065
26971,2,2,Pla2g2f,NA
269713,19,4+,Clip2,6.0117979383983275
269717,11,4+,Orai2,5.357339463633799
26972,0,0,Spo11,NA
269774,4,4+,Aak1,261.123616611781
269784,0,0,Cntn4,NA
269788,3,3,Lhfpl4,77.87461275940497
269799,0,0,Clec4a1,1.8023764841294596
269800,10,4+,Zfp384,294.12440136714224
269823,7,4+,Pon3,10.213434769089488
269831,17,4+,Tspan12,49.47370353554915
269854,23,4+,Nat14,1.267206362490324
269855,42,4+,Ssc5d,1.541518361432049
269862,1,1,Or10am5,NA
26987,0,0,Eif4e2,1130.122525409893
269870,0,0,Zfp446,50.98866344007549
269878,4,4+,Megf8,40.17538581417999
269881,17,4+,Map3k10,20.95063401329316
269902,0,0,Vmn2r57,1.136765141767052
26992,7,4+,Brd7,511.7635579392195
269941,0,0,Chsy1,445.5140464555963
269951,0,0,Idh2,247.56469274715496
269952,9,4+,Gdpgp1,37.4816314565596
269954,0,0,Ttll13,11.1232365112402
269955,0,0,Rccd1,21.9815660982939
269959,2,2,Adamtsl3,NA
269966,0,0,Nup98,177.1865257698339
269994,15,4+,Gsg1l,NA
269997,15,4+,Zfp747,38.50408831022052
269999,0,0,Orai3,104.55229242018422
270004,0,0,Foxi2,NA
270028,0,0,Nalf1,NA
270035,2,2,Letm2,12.712919757647851
270049,0,0,Galntl6,NA
270058,9,4+,Map1s,2186.763214203942
270066,0,0,Slc35e1,301.7017621116166
27007,0,0,Klrk1,NA
270076,6,4+,Gcdh,87.13124640864771
27008,29,4+,Micall1,196.5369009355345
270084,0,0,Lpcat2,16.669738532491326
270086,0,0,Ogfod1,214.52417346953385
270091,0,0,Lrrc36,NA
270096,7,4+,Mon1b,73.40775637813317
270097,0,0,Vat1l,5.526882728523681
270106,19,4+,Rpl13,8412.409436041484
270109,0,0,Pcnx2,2.227537283166182
270110,17,4+,Irf2bp2,391.4276869563443
270118,24,4+,Maml2,5.143437982654901
270120,0,0,Fat3,1.0804738766011868
27015,6,4+,Polk,204.14107187582331
270150,2,2,Ccdc153,NA
270151,0,0,Nlrx1,8.679082314314426
270152,0,0,Jaml,1.528322121650851
270156,5,4+,Nkapd1,420.38909692998806
270160,0,0,Rab39,3.4765638932221554
270162,20,4+,Elmod1,2.6909675002311646
270163,0,0,Myo9a,192.80650611172
270166,1,1,Clpx,75.15832972853867
270190,11,4+,Ephb1,5.896314665501179
270192,0,0,Rab6b,34.56092766265234
270198,0,0,Pfkfb4,4.083583630613723
270201,0,0,Klhl18,33.356055803325724
270210,38,4+,Zbtb47,NA
27027,0,0,Tspan32,6.055083042857785
27028,0,0,Ermap,NA
27029,0,0,Sgsh,15.152559838969404
270328,0,0,Gsdmc3,NA
27041,2,2,G3bp1,5602.811038393009
27045,19,4+,Nit1,70.12555538511441
27047,1,1,Omd,NA
27049,9,4+,Etv3,65.44678551858745
27050,0,0,Rps3,3387.956375685148
27052,0,0,Aoah,31.06186231886925
27053,10,4+,Asns,702.2608417765636
27054,6,4+,Sec23b,2108.080455016294
27055,0,0,Fkbp9,701.5390361041952
27056,36,4+,Irf5,8.295171319706553
27057,5,4+,Ncoa4,698.1931088487424
27058,0,0,Srp9,1680.6459196410017
27059,0,0,Sh3d19,226.33547706347153
270599,1,1,Ct45a,NA
27060,7,4+,Tcirg1,36.127469711845656
27061,0,0,Bcap31,3492.4718002781083
27062,0,0,Cadps,7.493540348626996
270624,0,0,Spin4,25.664350458859133
270627,0,0,Taf1,233.82597716809892
270669,0,0,Mbtps2,198.93218651074457
270672,0,0,Map3k15,97.410976229163
270685,0,0,Mthfd1l,415.7977304522856
270711,1,1,Calhm4,NA
270757,0,0,Bpifc,1.6678045232452456
27078,1,1,B9d1,134.9635181712314
270802,10,4+,Kics2,NA
27081,9,4+,Zfp275,203.64957704901647
27083,0,0,Xlr4b,30.535399122844357
27084,21,4+,Xlr5c,12.3398204653353
270893,0,0,Tmem132e,NA
270906,0,0,Prr11,115.7490502175811
27096,0,0,Trappc3,217.10771052390533
271005,1,1,Klhdc1,2.8765155505779356
27103,0,0,Eif2ak4,28.144322521020648
271036,0,0,Catsperb,NA
271047,0,0,Serpina3b,NA
271127,0,0,Adamts16,NA
271144,0,0,Ankdd1b,0.933131253542193
271209,0,0,Rp1l1,NA
271221,0,0,Rubcnl,NA
271278,16,4+,BC024139,NA
271305,0,0,Phf21b,71.58411543663647
271375,0,0,Cd200r2,0.926581601122393
271377,0,0,Zbtb11,263.32465789557995
27140,0,0,Tlx3,11.934649729782718
271424,19,4+,Ip6k3,NA
271457,0,0,Rab5a,1749.114971187703
271508,0,0,Brd8dc,NA
271564,7,4+,Vps13a,125.0674171852576
271639,3,3,Adcy10,0.8296892126659604
271697,0,0,Cdk15,NA
271711,4,4+,Tmem169,NA
27176,9,4+,Rpl7a,2036.8373258792703
271786,0,0,Galnt13,1.399757086828454
271813,0,0,Agbl2,6.643077657814734
271842,0,0,Rpusd2,98.00636386009072
271844,0,0,Pla2g4f,2.7929759571463015
271849,0,0,Shc4,5.3487141639505085
271887,4,4+,Rbbp8nl,NA
271944,17,4+,C2cd4d,NA
271970,1,1,Arsj,NA
271981,0,0,Tbck,70.2227625103776
272009,21,4+,Srsf12,8.727866761437516
272027,16,4+,Tstd2,333.83973418568735
272031,18,4+,Plppr1,2.9707693207034347
27204,0,0,Syn3,3.716800989722342
27205,4,4+,Podxl,354.539341272124
27206,0,0,Nrk,186.6472303637751
27207,10,4+,Rps11,7879.737996914355
27208,16,4+,Snord33,NA
27209,13,4+,Snord32a,NA
27210,17,4+,Snord34,NA
27211,16,4+,Snord35a,NA
27212,7,4+,Snord35b,NA
27214,0,0,Dbf4,1179.5869534827657
27215,0,0,Azi2,115.1472493127851
272158,0,0,Poln,1.1434130442267196
27216,0,0,Or5g26,NA
27217,8,4+,Mixl1,8.041762205768327
27218,1,1,Slamf1,5.927979421452201
27219,9,4+,Sgk2,6.741182204281297
27220,0,0,Cartpt,NA
27221,0,0,Chaf1a,126.07242346758603
27222,0,0,Atp1a4,3.320398746977296
27223,0,0,Trp53bp1,594.9519131880268
27224,0,0,Eloa,172.49366199081126
27225,0,0,Ddx24,513.6112205309038
27226,0,0,Pla2g7,69.56001573909339
272322,0,0,Bmal2,NA
272347,0,0,Zfp398,34.62585504577857
272350,0,0,Lgalsl2,NA
272359,40,4+,Irf2bp1,375.023953789337
272381,0,0,Lrrc4b,2.82254730480596
272382,5,4+,Spib,2.9985736007169947
272396,0,0,Tars3,NA
272411,2,2,B3gnt6,NA
272428,0,0,Acsm5,NA
272465,0,0,Tmem255b,NA
272538,2,2,Tango6,54.90143429810619
272551,20,4+,Gins2,333.4406690765479
272589,0,0,Tbcel,261.37338306995207
