ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast_direction
GO:0055001	muscle cell development	39/1098	208/14485	0.1875	2.473531420765027	6.1302245794813786	1.0711896726327133e-7	1.0272611756828703e-5	8.313951631443312e-6	Fhl2/Cflar/Speg/Csrp1/Casq1/Actc1/Myl9/Lmna/Camk2d/Pitx2/Selenon/Wdr1/Met/Flnc/Smo/Foxp1/Pak1/Adm/Sorbs2/Acta1/Itgb1/Tpm1/Meis1/Adra1b/Pmp22/Krt19/Actg1/Cfl2/Actn1/Edn1/Synpo2l/Ccn4/Plec/Prickle1/Krt8/Nkx2-5/Bin1/Actn3/Efemp2	39	dKO_vs_WT_down
GO:0055002	striated muscle cell development	35/1098	176/14485	0.19886363636363635	2.6234424159629075	6.20572286785333	1.0739282391666577e-7	1.0272611756828703e-5	8.313951631443312e-6	Fhl2/Cflar/Speg/Csrp1/Casq1/Actc1/Myl9/Lmna/Camk2d/Pitx2/Selenon/Wdr1/Met/Flnc/Smo/Foxp1/Pak1/Sorbs2/Acta1/Itgb1/Tpm1/Meis1/Adra1b/Pmp22/Krt19/Actg1/Cfl2/Edn1/Synpo2l/Ccn4/Plec/Prickle1/Krt8/Nkx2-5/Actn3	35	dKO_vs_WT_down
GO:0007163	establishment or maintenance of cell polarity	40/1098	218/14485	0.1834862385321101	2.420581206864859	6.052457905451898	1.3552350148627307e-7	1.2731948952130046e-5	1.0304371494585987e-5	Map2/Arpc5/Vangl2/Gsn/Pax6/Fermt1/Pard6b/Lmna/Patj/Wdr1/Actb/Cdx2/Wnt7a/Frmd4b/Pak1/Ilk/Parva/Fat1/Rhou/Itgb1/Amotl1/Amotl2/Gja1/Flot2/Ccdc85c/Map1b/Wnt5a/Spry2/Myh9/Sh3bp1/Wnt7b/Prickle1/Phldb2/Ptk7/Cfl1/Ehbp1l1/Fam89b/Fgf13/Msn/Amot	40	dKO_vs_WT_down
GO:0048660	regulation of smooth muscle cell proliferation	34/1098	170/14485	0.2	2.6384335154826957	6.154055437480428	1.4102409739817736e-7	1.301627677915458e-5	1.0534487054028208e-5	Sulf1/Ptgs2/Thbs1/Bmp2/Tgm2/Camk2d/Flt1/Cav1/Foxp1/Pak1/Ilk/Mmp2/Cdh13/Cyba/Cnn1/Tpm1/Htr1b/Tgfbr2/Tnfaip3/Gja1/Timp3/Igfbp3/Egfr/Alox12/Id2/Edn1/Myc/Ccn4/Pdgfb/Hbegf/Gstp2/Efemp2/Tcf7l2/Apln	34	dKO_vs_WT_down
GO:0042692	muscle cell differentiation	62/1098	413/14485	0.15012106537530268	1.9804222513308372	5.789140213302167	1.483556656023763e-7	1.3456882012656928e-5	1.0891082892225266e-5	Fhl2/Cflar/Speg/Csrp1/Vangl2/Casq1/Capn2/Actc1/Bmp2/Myl9/Lmna/Bcl9/Camk2d/Pitx2/Cth/Selenon/Wnt4/Wdr1/Cxcl10/Met/Flnc/Smo/Foxp1/Ccnd2/Ehd2/Pak1/Adm/Igf2/Efnb2/Sorbs2/Piezo1/Acta1/Itgb1/Tpm1/Meis1/Adra1b/Pmp22/Arrb2/Krt19/Actg1/Id2/Lamb1/Cfl2/Actn1/Edn1/Synpo2l/Mmp14/Myc/Ccn4/Plec/Myh9/Pdgfb/Wnt7b/Prickle1/Krt8/T/Nkx2-5/Bin1/Actn3/Efemp2/Casp7/Tmsb4x	62	dKO_vs_WT_down
GO:0048738	cardiac muscle tissue development	43/1098	244/14485	0.1762295081967213	2.3248492042163096	5.977160470272692	1.5224202868901632e-7	1.3575344286998556e-5	1.0986958181036057e-5	Fhl2/Casp8/Speg/Tgfb2/Actc1/Bmp2/Jph2/Lmna/Camk2d/Pitx2/Hspg2/Met/Foxp1/Ccnd2/Ppp1r13l/Pak1/Efnb2/Fgfr1/Sorbs2/Itgb1/Tpm1/Tgfbr2/Cited2/Gja1/Gli1/Meis1/Adra1b/Arrb2/Nog/Id2/Foxc1/Dsp/Edn1/Tnnc1/Zfpm2/Ccn4/Plec/Prickle1/Pkp2/T/Nkx2-5/Pim1/Ankrd1	43	dKO_vs_WT_down
GO:0051146	striated muscle cell differentiation	50/1098	305/14485	0.16393442622950818	2.1626504225267995	5.877122654535166	1.6081454895429514e-7	1.4100755700809113e-5	1.1412190360002172e-5	Fhl2/Cflar/Speg/Csrp1/Casq1/Capn2/Actc1/Bmp2/Myl9/Lmna/Bcl9/Camk2d/Pitx2/Selenon/Wdr1/Cxcl10/Met/Flnc/Smo/Foxp1/Ccnd2/Ehd2/Pak1/Igf2/Efnb2/Sorbs2/Piezo1/Acta1/Itgb1/Tpm1/Meis1/Adra1b/Pmp22/Arrb2/Krt19/Actg1/Cfl2/Edn1/Synpo2l/Mmp14/Myc/Ccn4/Plec/Myh9/Prickle1/Krt8/T/Nkx2-5/Actn3/Casp7	50	dKO_vs_WT_down
GO:0007409	axonogenesis	66/1098	452/14485	0.14601769911504425	1.9262899559940037	5.729869173971167	1.689492436675327e-7	1.4571179851391634e-5	1.1792919596810523e-5	Nrp2/Klf7/Map2/Gbx2/Nfasc/Lamc2/Vangl2/Tgfb2/Vim/Zeb2/Kif5c/Pax6/Flrt3/Trim46/Unc5c/Nexn/Sema3e/Sema3c/Dpysl5/Actb/Smo/Hoxa1/Wnt7a/Foxp1/Numbl/Pak1/Ilk/Efnb2/Palld/Map1s/Itgb1/Prtg/Ryk/Sema3b/Stxbp5/Unc5b/Efna2/Arhgef25/Kif5a/Slit3/Pmp22/Ntn1/Nog/Erbb2/Wnt3/Actg1/Lamb1/Gli3/Edn1/Dbn1/Map1b/Vcl/Wnt5a/Nefl/Ctnnd2/Sema5a/Wnt7b/Prickle1/Gap43/App/Tnfrsf12a/Metrn/Efna5/Sema6a/Fgf13/Efnb1	66	dKO_vs_WT_down
GO:0051216	cartilage development	38/1098	204/14485	0.18627450980392157	2.4573645487338838	6.003545015865339	1.856547312868617e-7	1.575370227903515e-5	1.2749972632518768e-5	Sulf1/Col3a1/Tgfb2/Dlx2/Thbs1/Bmp2/Ecm1/Ccn1/Bmp8b/Hspg2/Errfi1/Evc/Gusb/Hoxa3/Hoxa5/Wnt7a/Serpinh1/Fgfr1/Bbs2/Hyal2/Tgfbr2/Chst11/Efemp1/Nog/Col1a1/Axin2/Mboat2/Gli3/Bmp6/Edn1/Wnt5a/Loxl2/Bmp1/Ccn4/Wnt7b/Runx1/Pkdcc/Bgn	38	dKO_vs_WT_down
GO:0030048	actin filament-based movement	26/1098	112/14485	0.23214285714285715	3.062467473328129	6.275180220797599	1.9863812569788578e-7	1.6587859988834555e-5	1.3425083015003306e-5	Ikzf2/Gsn/Zeb2/Actc1/Camk2d/Sri/Limch1/Cav1/Parva/Tpm1/Myo5a/Myl6/Myl6b/Rangrf/Myo1c/Dsp/Dbn1/Tnnc1/Myh9/Emp2/Pkp2/Dsc2/Bin1/Acta2/Fgf13/Flna	26	dKO_vs_WT_down
