ko,topology,dz_class,n,frac
DHX36KO,parallel,stable,73794,1
DHX36KO,antiparallel,stable,8200,1
DHX36KO,hybrid,stable,10222,1
FANCJKO,parallel,stable,74030,1
FANCJKO,antiparallel,stable,8172,1
FANCJKO,hybrid,stable,10187,1
dKO,parallel,stable,78252,1
dKO,antiparallel,stable,8704,1
dKO,hybrid,stable,10771,1
